rank,channel_id,channel_name,frequency,percentage,first_seen_in
32,UCWzNlC-0FQVelSKLlUoj71g,Circle of Greatness with Nehemiah Davis,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
33,UCQOQ_nHaVQNe4o2U6RVYezg,Nicole Purvy,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
34,UCbDfeUupjIPoirGyLv1zwPg,Chisom Nwanonenyi,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
35,UCPjNBjflYl0-HQtUvOx0Ibw,Greg Isenberg,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
36,UCVeuau7DLrg7zlAjxxDbdww,HubSpot Marketing,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
37,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
38,UCPjHv3geImdJK7NMHI2VcJA,Leslie Samuel,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
39,UC7geKfz2-IH0rsgRBtHTm0g,Learn With Shopify,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
40,UCjc1vfduI7BhVMXBLJLDjmA,Brock Mesarich | AI for Non Techies,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
41,UC4QBHK32zckCVflVnA900Jw,Stephen Petro,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
42,UCV_DLB3VW0szIGQnwel1Nsw,The Solo Entrepreneur,1,10.0,How I use AI as an Entrepreneur (My complete workflow)
43,UCOEMEjL1GBJ41uCWur5VXWQ,GaryVee Video Experience,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
44,UCyXqP8_DGbKdrNyeMS0l-DA,Samuel Onuha’s Wisdom,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
45,UCqdwM6M5SPmuX779w-6iQTA,Joma Clips,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
46,UCF5QQfLU7dZ_MwKQ-7N-cug,Finacademy,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
47,UC1xvRxqTWRyuZyVO1QZKI2Q,Saurabh Gandhi,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
48,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
49,UCrwgzeryf2k0lUwQYNwpJPw,BottomStart,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
50,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
51,UCBayuhgYpKNbhJxfExYkPfA,Ross Cameron - Warrior Trading,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
52,UCzfxr_cM8Acly2Yk_grs75A,Marlow Real Estate,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
53,UCj6N_0RjtUC-an1RU9gF-WA,Gurjeet Singh,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
54,UCOe2G2WcudW1d-AeeOQAYJg,Brendan Dell ,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
55,UCDgUAAHgsV2fFZQm2fIWBnA,Prince Ea,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
56,UC62C8xnjBJzUdH4-kftzIvg,The Investor Show,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
57,UCNIFV-Bgh2YtrWQxmrgFS4w,George Kamel,1,10.0,"The Proven, Reliable Path to Earn $1M (Step By Step)"
58,UC0MYNOsIrz6jmXfIMERyRHQ,Karl Conrad,1,10.0,My Productive Every Day Carry 2025
59,UCZyCposXwcyopaACep44maQ,Alex Costa,1,10.0,My Productive Every Day Carry 2025
60,UChjRM_qQAaOAiLNbOGbYcRA,9to5Mac,1,10.0,My Productive Every Day Carry 2025
61,UCyitZ7eBQoDjR_erSoiJBTA,Baris Alkis,1,10.0,My Productive Every Day Carry 2025
62,UC9fSZHEh6XsRpX-xJc6lT3A,UrAvgConsumer,1,10.0,My Productive Every Day Carry 2025
63,UCZ6ypOompGsjitTs6LMW3Kw,visionswell,1,10.0,My Productive Every Day Carry 2025
64,UCG4pyCrLYfDsSaRUrBH1MKA,Luke Made It,1,10.0,My Productive Every Day Carry 2025
65,UC219FOSgcQzvp4EhqPqnrfA,Plaen Co.,1,10.0,My Productive Every Day Carry 2025
66,UCG7J20LhUeLl6y_Emi7OJrA,The Studio,1,10.0,My Productive Every Day Carry 2025
67,UCAC2jzvr4bY6ZPYsHyJ-vsg,Marine X,1,10.0,My Productive Every Day Carry 2025
68,UCKJWrjMf34Wq5rYufKJpGlg,Colin Michel,1,10.0,My Productive Every Day Carry 2025
69,UCDYJ3BCFTGLylzCtKTrlkMw,That Mark Gilroy,1,10.0,My Productive Every Day Carry 2025
70,UC2krXOXEiQg6sBo21zGlinQ,Levi Okoye,1,10.0,My Productive Every Day Carry 2025
71,UCm4_Wd1EW7kGYvVhC77Yzpg,Josh Fenn,1,10.0,My Productive Every Day Carry 2025
72,UCY6N8zZhs2V7gNTUxPuKWoQ,Ishan Sharma,1,10.0,"If I was a student again, I’d do this"
73,UC4-uObu-mfafJyxxZFEwbvQ,UnJaded Jade,1,10.0,"If I was a student again, I’d do this"
74,UClDcKhHgT3x88I0q7BOT0ow,Jun Yuh,1,10.0,"If I was a student again, I’d do this"
75,UCBX_-ls-dXuhFNSWSXcHrTA,Koi,1,10.0,"If I was a student again, I’d do this"
76,UCy81_kG3jg8ep3Z7mHFWFOA,Yash Bhika,1,10.0,"If I was a student again, I’d do this"
77,UC2WHjPDvbE6O328n17ZGcfg,ForrestKnight,1,10.0,"If I was a student again, I’d do this"
78,UCSZlcS5ooyCjj_MkrmH_WhQ,So This Is My Why,1,10.0,"If I was a student again, I’d do this"
79,UCruRBI2b_5r9T6mcvIA_5BA,Ali Hossain,1,10.0,"If I was a student again, I’d do this"
80,UCrLK8YVwgnCElvR7ehdHo8w,JashiiCorrin,1,10.0,"If I was a student again, I’d do this"
81,UCFe9W94LWTkzECg317sYo3A,Rahul Thinks,1,10.0,"If I was a student again, I’d do this"
82,UCpAjDo6QmsZu7iOfhmsD_7Q,Motivize,1,10.0,"If I was a student again, I’d do this"
83,UCFKQ15ai2SvGJT39Ue_PFYA,Purvi Gadia,1,10.0,"If I was a student again, I’d do this"
84,UC1KO75Zy6AdsNlH_nzIn7Pw,Keep Going by Benz Kat,1,10.0,"If I was a student again, I’d do this"
85,UC8_oD2-OeQAwnQLUWt1CgPw,Max Cecco | Online Marketing Mentor,1,10.0,"If I was a student again, I’d do this"
86,UC9Pg0ozfydafsPLJBck3lAg,Doctor Kenji,1,10.0,"If I was a student again, I’d do this"
87,UC1RJ96szOVz9WB4_gRbZwkA,MotivationNation,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
88,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
89,UCH5_L3ytGbBziX0CLuYdQ1Q,CNBC Make It,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
90,UC6-2dxDfwxlX9awErEt24Yg,Michia Rohrssen,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
91,UCleYpJLwkQb_CLhkKYml1dg,MoAna🌸,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
92,UCpzJCfqlpzCwxaUAR0nwYgA,Saheli Chatterjee,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
93,UC9mC0-KAUSImqdvvwSZ1cuQ,The Transforming Network Global(TRANNET GL🌍BAL),1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
94,UCwVEhEzsjLym_u1he4XWFkg,Finance With Sharan,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
95,UChRcgeYDvhjXH3-v4j8mNcQ,Adeleke Ogunnupe,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
96,UCa-d4Sq92Vl3HrRFYIAelpw,The Gyanation,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
97,UCNjPtOCvMrKY5eLwr_-7eUg,Alux.com,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
98,UC1kl7-iunjBtjdJMGG-zmaQ,Benjamin Nwafor,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
99,UCzNTVzprq6UG7kBK0LIDtUw,Karl Niilo,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
100,UCs0gcd6T_zFLsnqhlI022eQ,Troy Vayanos,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
101,UCSRQ9pHE6CFqEib7rMmvgNw,Business Motiversity,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
102,UCFAQo_UwZApqUeO8ofUK1Hw,Will Griff ,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
103,UCixP0TqeymGSlKtgQoulCIQ,Madz Jewelry,1,10.0,"Easy, Boring Business Ideas to Start in 2025 - Answering you"
104,UClwhHnh0_KVNhEuSOLOiq3w,Founder’s Hub,1,10.0,The Ultimate Guide to Building a Lifestyle Business
105,UCo-YG9i234wCbZxIKQJWySQ,Ranaa_saabh,1,10.0,The Ultimate Guide to Building a Lifestyle Business
106,UCd-wHC-xYzeT92sNhb_52dA,SAGA GREAT IDEAS,1,10.0,The Ultimate Guide to Building a Lifestyle Business
107,UCBFWrMRo37OVLM2l1pWnH7w,Brand Master Academy,1,10.0,The Ultimate Guide to Building a Lifestyle Business
108,UCR9oEDTGlnhxis45LJTFEhw,Bronte Marketing,1,10.0,The Ultimate Guide to Building a Lifestyle Business
109,UCRzYN32xtBf3Yxsx5BvJWJw,warikoo,1,10.0,The Ultimate Guide to Building a Lifestyle Business
110,UCtZUVywzB0AzYSqDBWKrGcQ,WRLDINVSN Network,1,10.0,The Ultimate Guide to Building a Lifestyle Business
111,UC5_4l3dLp_X1-3sN9pEGxGw,Nathan Argenta,1,10.0,The Ultimate Guide to Building a Lifestyle Business
112,UCJ8abXRLWLjLZZudoXTFrcA,The Anarchist Entrepreneur,1,10.0,The Ultimate Guide to Building a Lifestyle Business
113,UCTQuKo8v0PaPCvk5aRxc_Yg,Charlie Chang,1,10.0,The Ultimate Guide to Building a Lifestyle Business
114,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,1,10.0,The Ultimate Guide to Building a Lifestyle Business
115,UCgzz4Kd1YpzxJOkrhf5U_7A,Ali Solanki,1,10.0,The Ultimate Guide to Building a Lifestyle Business
116,UCGxjDWAN1KwrkXYVi8CXtjQ,Think Media,1,10.0,The Ultimate Guide to Building a Lifestyle Business
117,UCNbn24ArsW9EebhtSvAkQKw,Gdaddy,1,10.0,The Ultimate Guide to Building a Lifestyle Business
118,UC7QK9IB4jC1aSggmogm7Q8g,J-Star Gaming,1,10.0,The Ultimate Guide to Building a Lifestyle Business
119,UCbaQv8_DS1n8puOnJRzLPzw,Myron Golden,1,10.0,How I Would Build A Business in 2025 (If I had to start over
120,UC_GbPM8WZxhcsDozW5dyn0w,Noelle Randall,1,10.0,How I Would Build A Business in 2025 (If I had to start over
121,UCV3-kGFJHeFnh6RP9fFPoRg,Luna Vega,1,10.0,How I Would Build A Business in 2025 (If I had to start over
122,UCrPTtP-Bg2ZdXB63OADqEEw,Ritesh Agarwal ,1,10.0,How I Would Build A Business in 2025 (If I had to start over
123,UCimRGeoiwUPmIddym-HdaCg,Ash Maurya - LEANFoundry,1,10.0,How I Would Build A Business in 2025 (If I had to start over
124,UCiq1FIgtEK7LRAOB1JXTPig,Silicon Valley Girl,1,10.0,How I Would Build A Business in 2025 (If I had to start over
125,UCl-Zrl0QhF66lu1aGXaTbfw,Neil Patel,1,10.0,How I Would Build A Business in 2025 (If I had to start over
126,UCcPI9kEPhyUDLBHGOhKqxOw,Breakdown,1,10.0,How I Would Build A Business in 2025 (If I had to start over
127,UCF9vvHqxsEZOxq5BEKhfD3w,Millionaires  Grind,1,10.0,How I Would Build A Business in 2025 (If I had to start over
128,UCxVxcTULO9cFU6SB9qVaisQ,Jack Roberts,1,10.0,How I Would Build A Business in 2025 (If I had to start over
129,UCYlvhdndoVyMgljg8WeOKkA,Kristian Hill,1,10.0,How I Would Build A Business in 2025 (If I had to start over
130,UCrJrY9gMcbRL2APnFCXiuBQ,Christian Peverelli - WeAreNoCode,1,10.0,How I Would Build A Business in 2025 (If I had to start over
131,UCosZ-T5RAq0kpjgy7NPTV7g,Ben Holt,1,10.0,How I Would Build A Business in 2025 (If I had to start over
132,UCYoUuK_uXILQmvip-6jDZ-A,Vaibhav Kadnar,1,10.0,How I Would Build A Business in 2025 (If I had to start over
133,UC0Q3FT2TXwXFGi_BkHWW7aA,Affiliate io ,1,10.0,How I Would Build A Business in 2025 (If I had to start over
134,UCGgidlQpzduxjaXsZ22UNDQ,Elliot Phillips,1,10.0,How I Would Build A Business in 2025 (If I had to start over
135,UCsmkvuz3kECtIvyQBeipnkQ,Alex Teo,1,10.0,My Productivity Desk Setup Tour (2025)
136,UCvL583WdHqZdy1w_kdsEr6A,Orbxz,1,10.0,My Productivity Desk Setup Tour (2025)
137,UCcaTUtGzOiS4cqrgtcsHYWg,jvscholz,1,10.0,My Productivity Desk Setup Tour (2025)
138,UCWGFy6bn8EAyDzWz7jC77zA,ECLiPSE3D,1,10.0,My Productivity Desk Setup Tour (2025)
139,UCVuLYFJJoGGBO5Tnup11Jdw,Midas / Tomi,1,10.0,My Productivity Desk Setup Tour (2025)
140,UCKAUjhHoLQDyLRHPCcywruQ,CU Verma Vlogs,1,10.0,My Productivity Desk Setup Tour (2025)
141,UC_h-Jl4Zxb7p-sSBTxprs4Q,Maisy Leigh,1,10.0,My Productivity Desk Setup Tour (2025)
142,UCFFPYiTdG2-uZnSZtkhqs5w,Colin Kilday,1,10.0,My Productivity Desk Setup Tour (2025)
143,UCBCMR6JnwHua6NfN5UhAsfg,Chau,1,10.0,My Productivity Desk Setup Tour (2025)
144,UCBM2Z-kqN7ioFKeR_-iU0zA,Frontend With Chandel,1,10.0,My Productivity Desk Setup Tour (2025)
145,UCEli52HZqbog3LQr5sRzL1A,Shevon Salmon,1,10.0,My Productivity Desk Setup Tour (2025)
146,UCFqq4_WzabTHdXZSWLrutUg,ergonofis,1,10.0,My Productivity Desk Setup Tour (2025)
147,UCSLeoz5odIGS2GdlbHbCAUg,Matthew Encina,1,10.0,My Productivity Desk Setup Tour (2025)
148,UCTnRFtRPVXzp3JIHTiRJrLw,Alex Nicoll,1,10.0,My Productivity Desk Setup Tour (2025)
149,UCsd0xmaXyUGpD35IX4xrYEw,Jeremiah Peoples,1,10.0,My Productivity Desk Setup Tour (2025)
150,UC4514FwdRy5gI6CdC9GPb0w,Chris Bumstead,1,10.0,How to Change Your Life
151,UCZluj21nqezZnCcbd2SAhWA,vibrateandcreate,1,10.0,How to Change Your Life
152,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,1,10.0,How to Change Your Life
153,UCHARmnz-8EkOyasRk0VMnhg,Motivational Resource,1,10.0,How to Change Your Life
154,UCkJEpR7JmS36tajD34Gp4VA,Psych2Go,1,10.0,How to Change Your Life
155,UCk34OWR_oN7r1xzVMHVr3jA,All In One,1,10.0,How to Change Your Life
156,UCBMKymQczkDxCpE1R2vvA4Q,Joshua Becker,1,10.0,How to Change Your Life
157,UCYVFeFY_4-755hqdPfB2qpw,Mia Yilin,1,10.0,How to Change Your Life
158,UCvslwtnK99PwgEInK-ua6Qg,Mark Darwin,1,10.0,How to Change Your Life
159,UCxBh6E2w6peWXI0n_EFtlTQ,Trell The Trainer,1,10.0,How to Change Your Life
160,UCtBw4N4-EiaAqK9TvZGlGDw,Kinobody,1,10.0,How to Change Your Life
161,UCbZmj05J9w8jHUgCmj1Xdcw,Tom Beckles,1,10.0,How to Change Your Life
162,UC5QESDRf1F0v1Ig8KHpCVCQ,Peakzmotivation,1,10.0,How to Change Your Life
