rank,channel_id,channel_name,frequency,percentage,first_seen_in
50,UCfg9jHHg1TovB-yVABnj4zQ,The Toonscout,1,11.1,Thomas Edison: The IDIOT Who Changed The World
51,UCkrErXs3JE11g9esg7_3Gxg,LAMRE,1,11.1,Thomas Edison: The IDIOT Who Changed The World
52,UC8MalTYHvpmBKt5y365hDmQ,Crime World ,1,11.1,The Family That Drugged America
53,UCcZTNx7hWaj-gMA0npvgsSg,MalOutThere,1,11.1,The Family That Drugged America
54,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,1,11.1,The Family That Drugged America
55,UCTklam7pd1JR7hsyw6lkb1Q,Arthur Turner,1,11.1,The Family That Drugged America
56,UCSKicS9JZCN7Cu3wkSn_A_Q,Flash And Finesse Podcast ,1,11.1,The Family That Drugged America
57,UCytbWDTXFErSDgj0rlVwH3A,THE GLOBAL NEWS,1,11.1,The Family That Drugged America
58,UC-cVx1kVHhiJss5EZdwawPA,CineDrama,1,11.1,The Family That Drugged America
59,UCyWpRDBBb84ogtALVskwciw,AML FILMS,1,11.1,The Family That Drugged America
60,UCxzO6qXHzMhfTiWlnum_Zjw,Cass K,1,11.1,The Family That Drugged America
61,UCrJCsEPCG31OLjr76RbGmUQ,Brain Tickle,1,11.1,The Family That Drugged America
62,UCElF_pnVvp7K7XNfXbFDxKg,Inmyst,1,11.1,The Family That Drugged America
63,UCi645Dx0Vk7tzbKq-dQ7b-g,Unfiltered Stories,1,11.1,The Family That Drugged America
64,UCQbzE9f9DACb5C-VkDTFffQ,ALL TIME MEDIA ,1,11.1,The Family That Drugged America
65,UCKTrRrMOaeYltDtM5FdMBYg,LazorEffect,1,11.1,The Family That Drugged America
66,UCHpw8xwDNhU9gdohEcJu4aA,The Guardian,1,11.1,The Family That Drugged America
67,UCFQMnBA3CS502aghlcr0_aw,Coffeezilla,1,11.1,The Scariest Business In The World
68,UCF8x70Sa8vejl5vgmEgqO8A,Jason Payne,1,11.1,The Scariest Business In The World
69,UCOm5D1K20slB4ETh8hfIBZg,cocomemes,1,11.1,The Scariest Business In The World
70,UCel2FW-aAKimLE-R0izie2A,Masti tach,1,11.1,The Scariest Business In The World
71,UCja7QUMRG9AD8X2F_vXFb9A,The Royalty Family,1,11.1,The Scariest Business In The World
72,UCmLQ0TRBI-uj__y9jvU9fGw,Best Sonam 22,1,11.1,The Scariest Business In The World
73,UCG0Qf22I90f8iTyu7ttv0Gw,Dire Horror,1,11.1,The Scariest Business In The World
74,UCW39O0Fmryk_yxalbHn8VIw,Vaishu's Ulagam,1,11.1,The Scariest Business In The World
75,UCImisRlZTVQ0vblWjjYih4Q,Spencer Lackey,1,11.1,The Scariest Business In The World
76,UCYmSceAV4YN2VW_JSQwFVGw,Amanda Castrillo,1,11.1,The Scariest Business In The World
77,UCKSVUHI9rbbkXhvAXK-2uxA,Supercar Blondie,1,11.1,The Scariest Business In The World
78,UC3j51IOFN9Tu8tXtcOZqbRQ,ANY icON,1,11.1,The Scariest Business In The World
79,UCj5K5MThs1DpTWIG6AOVPBw,Dark Robot,1,11.1,The Scariest Business In The World
80,UCEUYMM-sDyfCgLBA-3EAPaw,it's 11 oclock ,1,11.1,The Scariest Business In The World
81,UC_JOUf3Fi41QkSawKI7--iw,Wk Official,1,11.1,The Scariest Business In The World
82,UCDHdiedPwCRvafXq1I2j0dA,Christian Cagle,1,11.1,The Scariest Business In The World
83,UC4dD7XXdwPIrTLStHwfsJOQ,World List,1,11.1,The World’s Most Wanted Woman
84,UCQXHTFnQYFTqN0MqmNh9EIA,BBC World Service,1,11.1,The World’s Most Wanted Woman
85,UCkQO3QsgTpNTsOw6ujimT5Q,BE AMAZED,1,11.1,The World’s Most Wanted Woman
86,UCNDlxHqR3ofCP7SVCZ0BdIg,Jude Bela,1,11.1,The World’s Most Wanted Woman
87,UC3WCUmboRSypDtn_I9Booww,OCG TV,1,11.1,The World’s Most Wanted Woman
88,UCODHrzPMGbNv67e84WDZhQQ,fern,1,11.1,The World’s Most Wanted Woman
89,UCkRmoZiR_SOssKA89m1eYJg,Only Human,1,11.1,The World’s Most Wanted Woman
90,UCo_ZvIqAy9nvDwA3vxXy6Iw,Beyond the Frontline: WW2 Stories,1,11.1,The World’s Most Wanted Woman
91,UCF9iKrbqQV8bwHRbXS0_cgw,REAL 3D DATA,1,11.1,The World’s Most Wanted Woman
92,UCvrQF9KNM2aqSpR_etwESzg,Certained Facts,1,11.1,The World’s Most Wanted Woman
93,UC_ZR3lKBFJM-VX-JTgF7dfA,Into The Deep - True Crime,1,11.1,The World’s Most Wanted Woman
94,UCCsREoj8rSRkEvxWqxr74rQ,Cybernews,1,11.1,The World’s Most Wanted Woman
95,UCCFAhfMvHmqSO1W8sRQShqQ,Crime Recap,1,11.1,The World’s Most Wanted Woman
96,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,1,11.1,The World’s Most Wanted Woman
97,UCaHFxHeMxHeU_SVSG5fk38A,Wise,1,11.1,The World’s Most Wanted Woman
98,UC8SsLrswXK-yyHC7vdPaJ8g,Deadly Quest,1,11.1,The World’s Most Wanted Woman
99,UCKVsdeoHExltrWMuK0hOWmg,KTN News Kenya,1,11.1,The World’s Most Wanted Woman
100,UC3_qYh4foNgVXI7NzcuxlCA,Matthew Cox | Inside True Crime,1,11.1,The World’s Most Wanted Woman
101,UCwMaWqZ6SdDpTaYOW0huELw,Vidello Productions,1,11.1,The World’s Most Wanted Woman
102,UCXW_DdWtSviKkF7IDCq5_hQ,Cash Curiosities,1,11.1,Diamonds: An Evil Scam
103,UCEOCok6_wZiVw6O3bzXosDw,Zero to Millions,1,11.1,Diamonds: An Evil Scam
104,UCQ0pkDM9vkGcf12365DoPGQ,Globle Dark Side,1,11.1,Diamonds: An Evil Scam
105,UCHCClgUB-YWIvY2hRpwGpxg,pro investors,1,11.1,Diamonds: An Evil Scam
106,UCLJ0PEGr5OAHt-_jqE0qv5Q,Crafting Video Official,1,11.1,Diamonds: An Evil Scam
107,UCNE5VEPseM9Rf5Qi37H6Sjg,Money Boss Smoke,1,11.1,Diamonds: An Evil Scam
108,UCPDXXXJj9nax0fr0Wfc048g,Dropout,1,11.1,Diamonds: An Evil Scam
109,UCAK-QXJb6UiVdfIz0uNDhrw,AR Palmistry_Numerology9,1,11.1,Diamonds: An Evil Scam
110,UC-ykQRwwDX2pvJarUkppX2g,Subbbyy,1,11.1,Diamonds: An Evil Scam
111,UCIyCXxOCbPa5uZGNTU4H-Ww,Avinash Kumar,1,11.1,Diamonds: An Evil Scam
112,UCNTpozDlSkqcoU6DKs7VPJw,DempodShorts,1,11.1,Diamonds: An Evil Scam
113,UCeM6kyLWFd-_mY5BxlZi4Yg,Business Profusion,1,11.1,Diamonds: An Evil Scam
114,UCKWTHRsZ3Q7YSINEryKH8Gg,247paps.tv,1,11.1,Diamonds: An Evil Scam
115,UC_hK9fOxyy_TM8FJGXIyG8Q,Dhar Mann Studios,1,11.1,Diamonds: An Evil Scam
116,UCX281vmK3kYM3LK-PrqJMZw,Janique ,1,11.1,Diamonds: An Evil Scam
117,UCqTSWtEdySNlnbD40PmQsPg,Vault Files,1,11.1,The $47 Billion Cult
118,UCcKBpB-P-ihnMitoXHhBu5w,Spark Vision TV,1,11.1,The $47 Billion Cult
119,UCxwdp_yG0J6UTI_Lt6FOZEw,Get Magnetized!,1,11.1,The $47 Billion Cult
120,UCUMZ7gohGI9HcU9VNsr2FJQ,Bloomberg Originals,1,11.1,The $47 Billion Cult
121,UCzxKef_ekfMMdtPG1DULqKA,Tycoon Media,1,11.1,The $47 Billion Cult
122,UCySPaJYUgTe8fw2EAWI2Gxw,MINIMALISTIC,1,11.1,The $47 Billion Cult
123,UC1Myj674wRVXB9I4c6Hm5zA,Apple TV,1,11.1,The $47 Billion Cult
124,UC0vxvXSLPNRrDa12WJxcZQg,Leapfrog Crypto,1,11.1,The $47 Billion Cult
125,UCWo_im5HsWahBQi1Zkda65w,Magnatess Media,1,11.1,The $47 Billion Cult
126,UCDeOxPsFwUm5GjyhoKisOKQ,Hidden Facts ,1,11.1,The $47 Billion Cult
127,UCNruPWfg4GUGw3RcwaKtsXQ,Dogwoof,1,11.1,The $47 Billion Cult
128,UCWYOCkFMLC8almJ2OS3OtXA,TycoonMedia ,1,11.1,The $47 Billion Cult
129,UCz1GPotHecuLngiLuY739QQ,Rotten Tomatoes TV,1,11.1,The $47 Billion Cult
130,UCFa2hGreOxUxp_tIjH6SmLw,Empire of Lies,1,11.1,The $47 Billion Cult
131,UCTd08bYLVmO6sMR0ftRltuQ,NothingButTech,1,11.1,The $47 Billion Cult
132,UC0jVwqMoyAu6J0S0GMrnOBA,Multi Gossip,1,11.1,The $47 Billion Cult
133,UChcpRAdCyFdo78TOUMlVGSw,Top10 Facts Club,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
134,UC9r_Ya05s-7p5OIjby8nw6g,PureEliteVibes,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
135,UCmDgjmqNkeFDQanGN_Jmc8g,CypherMind ,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
136,UCAhDXe43oUNISCvOf0-1c4g,The legend profile.,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
137,UCbEbpvqXFEdwgJAU_e_PajQ,Just Internet Things,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
138,UCmfhpPWcDt_HgMCb8vzjkww,Techno research tube,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
139,UCFN6lQpfY8XIRdhv9G-f4bg,Henry Belcaster,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
140,UCbG-JX0arzjkMMm5nRIHnFw,The Insight Lab,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
141,UCII7ou5RUtI8Zlxwb563reg,Ancient tales,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
142,UClwCxaQ_k0sCKWQjBRciT-Q,Business Boost,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
143,UC5hAB0GF8-56KbAlvK37g4w,The Business Legends,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
144,UCO8htHWSGk1LP7FnYwCdE4g,Magnet Documentry,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
145,UCxm_CZje5H6zkmLznVlJgqA,BizTimeTravelsWithKdoory,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
146,UCC3rNVHBCRMsMyFwwkJUTEg,The Insight Archive,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
147,UCYSQpTFRtVUoAyqXPevGZuA,Millionaires & Billionaires Playground,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
148,UC1bztHzlCZTwE1jV4SzZSOw,PowerTrace,1,11.1,The Nazi Brothers Who Started Rival Shoe Companies
