Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
Japanalysis,392000,0.5223556,0.517,0.1374022364616394,98
TMR,218000,0.5209724,0.417,0.1089346557855606,1370
MSP Radio,21300,0.51961124,0.412,0.0974013358354568,709
Not Malcolm,72000,0.51908827,0.423,0.099499337375164,105
Sundas Khalid,332000,0.5173743,0.382,0.0767809450626373,298
Craig Chamberlin,43100,0.51698285,0.328,0.0405836477875709,1002
Peter H. Diamandis,393000,0.51567805,0.465,0.1212305426597595,1621
Daily Dose of Dana,52400,0.51325893,0.482,0.1244542151689529,1442
Aishah Jenmi,23900,0.5124639,0.665,0.1431004554033279,30
It's Something,41800,0.51102054,0.463,0.1197416707873344,72
Lenny's Podcast,501000,0.5102062,0.413,0.0994600132107734,1507
BlackySpeakz,1190000,0.5091396,0.576,0.1425160318613052,1128
Company Man,1790000,0.5086726,0.49,0.1104362607002258,449
Community,406000,0.5086211,0.49,0.1056080535054206,1113
Xevi,1180000,0.50760865,0.652,0.1559955179691314,510
Investing Simplified - Professor G,376000,0.5041649,0.388,0.0779635533690452,739
Clarissa.C ,68600,0.5037611,0.59,0.1379018276929855,200
Economics Explained,2810000,0.5031136,0.486,0.1050511598587036,408
SWErikCodes,64900,0.50304985,0.371,0.075158379971981,670
Jarrett Moore,80900,0.5028581,0.466,0.1324396729469299,24
Tim Todd,100000,0.5021061,0.44,0.0978286042809486,194
Jack LIVE,1140000,0.5019554,0.446,0.1024225503206253,1592
Abbie Ree,49100,0.50171465,0.599,0.1479123383760452,38
hxsain,4160000,0.5001955,0.546,0.1119668036699295,2077



Techquickie,4330000,0.49992678,0.332,0.0472519733011722,1269
Everything Money Plus,23500,0.49705762,0.409,0.1158546730875969,262
Danno Cal Drawings,3980000,0.49593136,0.388,0.0757991820573806,1150
Jeff Geerling,1000000,0.49548334,0.369,0.0640246868133544,533
Lael Hansen,1220000,0.49530575,0.532,0.1268408745527267,121
Mrwhosetheboss,21800000,0.49235722,0.377,0.0674336403608322,1852
The Critical Analyst,35000,0.49124563,0.49,0.1218369677662849,1373
IBM Technology,1430000,0.49048656,0.326,0.0599585995078086,1442
Content Machine,3780000,0.4885478,0.396,0.0802648738026619,1375
Copper Digital,14800,0.4884142,0.368,0.0662915408611297,1107
ShawnCeeLIVE,206000,0.48811668,0.501,0.1241617575287818,1011
Kelly Scholas ,60900,0.4867476,0.52,0.1331921964883804,26
Robert Benjamin,863000,0.48593506,0.344,0.0911634862422943,1529
RKH Media,95200,0.48472095,0.467,0.1370876729488372,284
Observe,862000,0.48452288,0.524,0.1249833926558494,546
Mr. Beat,1300000,0.4838211,0.434,0.095788761973381,851
Offensive Tea,1150000,0.4809457,0.653,0.1383876502513885,235
FORGOTTEN HISTORY,975000,0.48041946,0.567,0.1372352391481399,1272
Nicholas Renotte,319000,0.47912037,0.255,0.0355055592954158,322
Olive's Closet,29400,0.4790237,0.294,0.0550192072987556,1536
Catfished,545000,0.47891158,0.382,0.1149369552731514,2250
Musk Munition,149000,0.4786825,0.478,0.1260289698839187,875
Learn With Shopify,818000,0.47533575,0.298,0.0533465445041656,1277
Rap Lore,40100,0.4741141,0.636,0.1508159935474395,272
katie robinson,58600,0.47045803,0.377,0.0859497487545013,352
Independent Institute,86400,0.46904248,0.48,0.0997465625405311,883
Zack D. Films,24100000,0.4650261,0.493,0.1169008091092109,2481
The Moving Average,1100000,0.4640866,0.304,0.0648245364427566,1071
JeGaysus - THE Gay Jesus,66300,0.46294603,0.443,0.0863417387008667,1684
Vtubing Explained,10100,0.46274364,0.461,0.1388976424932479,18
BakerInstitute,21400,0.46025833,0.483,0.0992561653256416,2305
Inanimate Person,34700,0.45806867,0.442,0.1026270240545272,592
SPEAKING OUT EXPOSING CORRUPTION AND INCOMPETENCE,11500,0.45535284,0.409,0.1850476562976837,476
Neuro-sama,787000,0.4546838,0.497,0.1027102395892143,392
CouRage Gaming,2760000,0.45090684,0.391,0.0892344936728477,598
Lynn Odhiambo ,183000,0.45001638,0.423,0.087050475180149,860
CodeHead,49300,0.44822875,0.335,0.0708615705370903,104
Secret Society,75400,0.44762117,0.585,0.1486490368843078,33
Bree Lenehan,550000,0.44673413,0.366,0.0795062929391861,196
No Intervals,88500,0.44603908,0.403,0.0919329151511192,1061
OnThatNote,54800,0.4458994,0.433,0.132493570446968,443
Tyrecordslol,5780000,0.44235173,0.345,0.0761194229125976,1892
Our History,945000,0.4416224,0.501,0.1071873977780342,739
The Groove,23200,0.44060576,0.575,0.1349650025367736,64
The Professor Of Real Estate ,63600,0.43866116,0.5,0.0930696651339531,158
Tori Trades,545000,0.43846223,0.244,0.0571447126567363,985
Humbled Trader,1400000,0.43751577,0.223,0.0463092029094696,991
Chizeled,638000,0.43476486,0.389,0.1425879895687103,2094
ZipTrader,838000,0.43055153,0.27,0.0679469630122184,781
FRONTLINE PBS | Official,3210000,0.4274936,0.424,0.1223345473408699,1177
Feel the Boot,12000,0.42601267,0.32,0.0786937996745109,280
Where Are They Now?,40200,0.42436603,0.506,0.1376019120216369,627
Philip VanDusen,306000,0.42350262,0.316,0.0735140666365623,555
Libertarianism.org,43600,0.42250848,0.517,0.12271648645401,1279
Matthew Wellington,20300,0.42215443,0.6,0.1762755513191223,45
Yuval Noah Harari ,779000,0.42130935,0.41,0.1191471740603447,489
EconplusDal,364000,0.41849658,0.283,0.0610812455415725,729
Biography,1080000,0.41594687,0.464,0.1165590435266494,1617
SwyperTv,235000,0.4111183,0.367,0.1148565784096717,358
ByteMonk,290000,0.40706503,0.277,0.0410471223294734,453
TradingLab,1830000,0.4062507,0.257,0.048556663095951,205
Dr. Shadé Zahrai,1350000,0.4052274,0.389,0.089002326130867,390
Sean Feucht,245000,0.40340078,0.463,0.1075373217463493,2122
STREETDAWG WORLDWIDE,18100,0.4032351,0.425,0.1233950331807136,315
Tech With Tim,1890000,0.39624742,0.262,0.0399279966950416,1698
Veritasium,19400000,0.39583677,0.475,0.0867008715867996,465
Actualized.org,1120000,0.39453298,0.386,0.0835024043917656,531
J.J. McCullough,1000000,0.39447597,0.417,0.077554814517498,591
Critikal Reacts,50600,0.39316916,0.412,0.0956845879554748,1073
Criminal Tracks,31900,0.39282113,0.48,0.1422163546085357,299
Armchair Analysis,112000,0.38892,0.605,0.1808310449123382,43
Outstanding Screenplays,1670000,0.38326243,0.405,0.100671574473381,2107
Angelica Pham,1080000,0.38286144,0.217,0.043243184685707,1490
HealthyGamerGG,3100000,0.38092497,0.473,0.1013373211026191,2298
InspiringPhilosophy,493000,0.38022304,0.329,0.081324890255928,1268
Tommy Robinson,560000,0.37484044,0.428,0.1035177633166313,493
Pixelade,230000,0.37229156,0.306,0.0892026647925376,2137
Alex Pavlova 💛 BeautyForEverybody,28300,0.37227717,0.235,0.0573405586183071,2450
Filmy Charcha with Kunal,24600,0.37226045,0.411,0.1212559789419174,1235
Alan's Universe,97300000,0.37183827,0.424,0.1301450580358505,1486
TED-Ed,22100000,0.3681743,0.466,0.0855861380696296,2311
SocialOrbit,254000,0.36688808,0.332,0.0784675180912017,495
Massachusetts Institute of Technology (MIT),945000,0.36587226,0.367,0.0863527655601501,916
Billie Rae Brandt,456000,0.3655205,0.369,0.103621631860733,495
ox_zung 원정맨,12100000,0.3646615,0.321,0.12639681994915,2322
Gareth Soloway,200000,0.36327258,0.271,0.0699696317315101,1553
Intentional Tech,16000,0.35908157,0.247,0.0432015694677829,265
PsycHacks,931000,0.35876456,0.439,0.1004431694746017,2063
Umar Ashraf,879000,0.35669035,0.225,0.0573199652135372,668
Justin Sung,1830000,0.3526804,0.243,0.0467720478773117,824
Momentum,867000,0.3512658,0.266,0.0627614557743072,1275
LeopARTnik,1560000,0.3498414,0.258,0.0603405758738517,632
Bopping,196000,0.3497752,0.433,0.1049478873610496,779
Sage,24300,0.349077,0.287,0.0466455370187759,1178
Andy Sterkowitz,351000,0.34724227,0.248,0.0581490956246852,154
Weird History,4700000,0.3470624,0.491,0.1078485623002052,1045
RARE History,60100,0.3456701,0.502,0.1244994848966598,1072
Robert Greene ,2060000,0.34437633,0.508,0.0963106676936149,765
YaleCourses,1630000,0.34329847,0.368,0.0827419832348823,2157
Cinephile Explained,25900,0.34259236,0.354,0.1085181012749672,209
Docentes DigitalesTV,13900,0.33612242,0.285,0.0890955254435539,2350
MorgueOfficial,689000,0.33550355,0.439,0.1061574667692184,1241
Rebecca Zung,524000,0.33519053,0.364,0.1156103163957595,2390
Mentality Madness,137000,0.33293524,0.362,0.0740211606025695,341
Yasir Khan Shorts,392000,0.32655448,0.275,0.0486251302063465,2082
ByteByteGo,1290000,0.3125159,0.279,0.0399524047970771,157
The Financial Controller,304000,0.30929706,0.195,0.0196440946310758,246
Jacob Clifford,1020000,0.30345094,0.225,0.0415874905884265,541
History Unleashed,144000,0.2990537,0.25,0.0696222409605979,259
Two Teachers,41000,0.29834148,0.274,0.0600372962653636,469
Institute for Justice,494000,0.2976794,0.395,0.0814934745430946,654
MasterClass,1600000,0.2930753,0.209,0.0514529533684253,709
Celeb Buss Central,882000,0.2920704,0.29,0.0954196751117706,1764
Sherrynews,28400,0.2874066,0.249,0.092132419347763,588
DonnyGoogle Tv ,56400,0.28650928,0.304,0.1137193813920021,573
Doctorly,3460000,0.2813372,0.196,0.0372248589992523,446
Lakepointe Church,455000,0.27124113,0.357,0.0924696177244186,1024
ReviewEcon,36800,0.27019238,0.242,0.0718416571617126,163
EnhanceTuition,27500,0.26548085,0.3,0.0613059364259243,306
Department of Economics,17900,0.26383653,0.237,0.0497114770114421,319
Parliamentarian,58400,0.2635911,0.353,0.0774819776415824,1029
FreshY Canadian,163000,0.25773475,0.203,0.0493202283978462,163
Learn English  ,11000,0.25353765,0.314,0.0794765502214431,96
Compass ,21700,0.23506683,0.178,0.0243870858103036,1305
Kanika Batra,154000,0.23019019,0.345,0.0968414843082428,251
BrrrakeF1,128000,0.21643606,0.184,0.0345018580555915,159
CrashCourse,16700000,0.21480866,0.337,0.0846300944685936,1651
Proko,4150000,0.20670488,0.245,0.0482480973005294,1116
Dr. Mary Barbera - Turn Autism Around®,204000,0.20495825,0.197,0.0395650304853916,1296
"IT Creations, Inc.",15400,0.16458149,0.102,0.0150903780013322,385
Shemmassian Academic Consulting,40700,0.16177744,0.196,0.0486936680972576,465
Intuitive Tennis,328000,0.15813261,0.155,0.0291250515729188,900
