Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Niche,Level,Timestamp,Similarity_Score,Seed_Keywords,Discovered_Keywords
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Travel With Business,UCP6of5QgOlLGT2v4iw5RCow,https://www.youtube.com/@travelwithbusiness,70700,Business education and entrepreneurship tips,1,2025-10-27T13:27:22.246319,0.767,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides","entrepreneurship innovation trends, business startup strategies, ai business applications, low investment business ideas, digital transformation insights, import export business tips, documentary style business stories, interview format discussions, technology impact analysis, factory tour presentations"
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,TED-Ed Student Talks,UCskU_g7t6b5ecsA1CTS3y9Q,https://www.youtube.com/@tededstudenttalks,123000,Youth idea development and presentation,1,2025-10-27T13:26:51.219812,0.763,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides","youth public speaking, idea development workshops, student leadership skills, confidence building programs, youth empowerment talks, creative problem solving, interview format discussions, storytelling presentations, motivational speech formats, educational panel discussions"
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity strategies and self-improvement,Aditya Ranjan Talks,UC1Qf-G1tSfsDmVLehoSoSog,https://www.youtube.com/@adityaranjantalks,4590000,Government exam preparation and motivation,1,2025-10-27T13:23:05.329993,0.75,"productivity hacks, self-improvement techniques, entrepreneurial mindset, personal growth strategies, focus enhancement tips, lifestyle business insights, motivational storytelling, interview format discussions, educational explainer videos, step-by-step productivity guides","ssc exam preparation, government job motivation, exam strategy planning, competitive exam success, ssc cpo insights, exam topper stories, motivational storytelling, interview format discussions, study strategy breakdowns, motivational video series"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Map & Myth,UCdCIGh00efux3N5qIgObmFw,https://www.youtube.com/@mapandmyth,60100,Geopolitical storytelling and analysis,1,2025-10-27T13:49:24.624532,0.92,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","geopolitical conflict analysis, strategic trade routes, border conflict explained, military buildup tensions, oil curse explained, defense sector insights, documentary storytelling, narrative analysis format, investigative deep-dives, historical power dynamics"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,fern,UCODHrzPMGbNv67e84WDZhQQ,https://www.youtube.com/@fern-tv,4040000,Global events and historical analysis,1,2025-10-27T13:45:51.021373,0.915,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","corporate power struggles, historical event analysis, geopolitical conflict insights, secretive government operations, environmental impact studies, economic crisis narratives, documentary storytelling style, investigative reporting format, narrative-driven documentaries, archival footage analysis"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Narratives,UCF58AzQw83B6_2G__XkROpg,https://www.youtube.com/@narrativestv,17500,Journalistic analysis of global issues,1,2025-10-27T13:51:51.670154,0.866,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","political power dynamics, regional conflict analysis, agricultural policy debates, cultural identity exploration, religious and moral shifts, leadership style comparisons, documentary storytelling, interview format discussions, investigative deep-dives, narrative storytelling"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Story Bucket,UCtsa-KA0L8nJcnMqWdLsB9g,https://www.youtube.com/@storybucket25,83200,Geopolitical analysis of Bangladesh,1,2025-10-27T13:48:39.355577,0.865,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","bangladesh defense analysis, india-bangladesh relations, corruption prevention strategies, border conflict insights, economic development potential, geopolitical tension narratives, documentary style storytelling, investigative analysis format, narrative storytelling approach, interview format discussions"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Decoding Geopolitics Podcast with Dominik Presl,UCtYQaZPOCMtrijLRYFnAtEw,https://www.youtube.com/@decodinggeopoliticspodcast,103000,Geopolitical analysis and insights,1,2025-10-27T13:48:24.693791,0.86,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","geopolitical strategy analysis, international conflict insights, foreign policy breakdown, global power dynamics, military strategy evaluation, economic influence tactics, expert interview format, in-depth discussion panels, analytical storytelling style, geopolitical documentary approach"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,The Global Narrative,UCWDvJT6ptY7GrwCEdzGzmwQ,https://www.youtube.com/@theglobalnarrative-v2h,48300,Global politics and current events analysis,1,2025-10-27T13:49:54.628146,0.86,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","trade policy analysis, geopolitical strategy insights, economic impact assessment, international trade dynamics, global supply chain issues, tariff war consequences, documentary style analysis, interview format discussions, investigative storytelling, in-depth commentary"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Geopolitical Economy Report,UCwlvSJdcMc7iGdR-aducSog,https://www.youtube.com/@geopoliticaleconomyreport,635000,Geopolitical news and analysis,1,2025-10-27T13:47:39.871764,0.86,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","us foreign policy analysis, economic sanctions impact, geopolitical conflict analysis, international relations insights, global power dynamics, economic bubble analysis, documentary style analysis, interview format discussions, investigative deep-dives, narrative storytelling"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,The New York Times,UCqnbDFdCpuN8CMEg0VuEBqA,https://www.youtube.com/@nytimes,4870000,Independent journalism and news analysis,1,2025-10-27T13:45:08.117019,0.857,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","hurricane impact analysis, political scandal investigations, urban design critique, health policy debates, international conflict reporting, climate change journalism, documentary-style reporting, investigative journalism format, narrative storytelling approach, visual investigation techniques"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Think School,UCKZozRVHRYsYHGEyNKuhhdA,https://www.youtube.com/@thinkschool,4760000,Business and geopolitics education,1,2025-10-27T13:45:22.650871,0.842,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","corporate strategy analysis, geopolitical impact studies, energy sector transformation, startup ecosystem insights, business opportunity exploration, consumer behavior analysis, documentary style storytelling, case study breakdowns, narrative storytelling, interview format discussions"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,BingeWorthy Documentaries,UCi6XF582sSwBjjB9M4qNDVw,https://www.youtube.com/@bingeworthydocumentaries,81000,Thought-provoking documentaries and analysis,1,2025-10-27T13:49:10.391881,0.814,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","paranormal investigation analysis, historical crime documentaries, supernatural event exploration, psychological thriller documentaries, haunted house stories, criminal psychology analysis, documentary storytelling style, investigative documentary format, narrative-driven documentaries, interview-based documentaries"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Dr. Roy Casagranda,UCUGwVgtUewevtLvu7NaxVrw,https://www.youtube.com/@drroycasagranda,486000,World history and politics analysis,1,2025-10-27T13:48:09.771245,0.811,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","ancient civilization analysis, historical political conflicts, cultural preservation efforts, empire rise and fall, ancient medical advancements, knowledge preservation history, documentary style storytelling, lecture series format, narrative historical analysis, educational deep-dives"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Our Stories,UC-hzoAk2bSnoqW0LmECa5WA,https://www.youtube.com/@ourstories,930000,Documentaries on everyday professions,1,2025-10-27T13:47:26.764054,0.788,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","everyday profession documentaries, workplace challenges series, career journey storytelling, job role explorations, professional life insights, industry-specific documentaries, narrative documentary style, interview-driven narratives, observational documentary format, real-life workplace stories"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,SAMA 6TVNEWS,UCg2-wFRVaa2Bcdq7P-QnUGQ,https://www.youtube.com/@sama6tvnews549,21300,Local and global news coverage,1,2025-10-27T13:51:22.179186,0.783,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","local political analysis, global news updates, regional policy discussions, international affairs coverage, socio-political events, economic impact reports, documentary style reporting, press conference highlights, interview format discussions, investigative journalism approach"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,MagnatesMedia,UCE4Gn00XZbpWvGUfIslT-tA,https://www.youtube.com/@magnatesmedia,1830000,Business storytelling and analysis,1,2025-10-27T13:47:13.657863,0.777,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","corporate scandal analysis, business failure case studies, company history narratives, entrepreneur rise and fall, brand evolution stories, financial crisis analysis, cinematic documentary style, narrative storytelling, investigative deep-dives, archival footage presentations"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Global Investigative Journalism Network,UCY8xUWeaWVE4JY05JUupzYQ,https://www.youtube.com/@gijn,13200,Investigative journalism training and resources,1,2025-10-27T13:52:50.139864,0.77,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","investigative journalism techniques, data journalism tools, conflict zone reporting, sustainable journalism funding, satellite imagery investigations, ai in journalism, documentary style reporting, interview format discussions, case study analysis, webinar presentations"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Nitish Rajput,UC6WzPg6yxF9dQx2_O6R4lww,https://www.youtube.com/@nitishrajput,7840000,Indian societal issues analysis and empowerment,1,2025-10-27T13:44:40.666447,0.768,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","naxalism in india, balochistan issue explained, ssc exam corruption, pulwama attack analysis, kohinoor diamond history, waqf board controversies, documentary style storytelling, investigative deep-dives, narrative storytelling, interview format discussions"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Kendall Rae,UCKBaL17hXLGJvi2KZKpja5w,https://www.youtube.com/@kendallrae,3970000,True-crime storytelling and victim advocacy,1,2025-10-27T13:46:05.152683,0.762,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","unsolved disappearance cases, true crime investigations, victim advocacy stories, missing person analysis, crime scene breakdowns, security failure critiques, documentary storytelling, narrative podcast format, investigative deep-dives, case study narratives"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,James Jani,UCT0dmfFCLWuVKPWZ6wcdKyg,https://www.youtube.com/@jamesjani,2190000,Documentary-style storytelling and analysis,1,2025-10-27T13:46:19.439119,0.76,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","corporate scandal analysis, financial fraud documentaries, cryptocurrency investigation, economic collapse stories, digital currency scams, investment scheme exposés, narrative storytelling, investigative deep-dives, cinematic documentary style, archival footage presentations"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Past Uncovered,UC3Rr9YlTfQJcp_-Qf2uGGQQ,https://www.youtube.com/@pastuncoveredhere,32900,Historical documentaries and storytelling,1,2025-10-27T13:50:09.941862,0.76,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","byzantine empire history, samurai empire documentary, french revolution storytelling, maya civilization exploration, dutch empire chronicles, roman britain history, historical documentary style, narrative storytelling format, full-length history films, educational history series"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,3T TV MEDIA,UCeAQwlTXPt7DH6Ctbd2B5tw,https://www.youtube.com/@3ttvmedia,14600,News storytelling and analysis,1,2025-10-27T13:52:35.743996,0.758,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","corporate scandal analysis, national award recognition, healthcare service initiatives, disaster incident reports, community health awareness, social impact storytelling, documentary style analysis, interview format discussions, narrative storytelling, investigative deep-dives"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Documentary Diaries,UCc2sQwMRL8wjZJERKeXrdrg,https://www.youtube.com/@documentary-diaries,30000,True crime documentaries and analysis,1,2025-10-27T13:50:38.352102,0.758,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","true crime analysis, criminal case documentaries, police investigation breakdowns, unsolved mysteries exploration, serial killer profiles, crime scene analysis, documentary storytelling, investigative reporting style, narrative documentary format, case study documentaries"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Rohan Travel Stories,UCprjYvd-7fC8zPYRa8oXDrg,https://www.youtube.com/@rohantravelstories,1940000,Wildlife travel documentaries and stories,1,2025-10-27T13:46:47.339135,0.752,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","wildlife behavior analysis, animal interaction stories, wildlife conservation narratives, predator-prey dynamics, animal communication insights, nature exploration documentaries, cinematic storytelling style, narrative-driven documentaries, immersive travel experiences, educational wildlife series"
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Boss Economics World,UCtwwnAiODpBkLFaYKHoYkBQ,https://www.youtube.com/@bosshankslord,31300,Global economic insights and analysis,1,2025-10-27T13:50:24.529047,0.74,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques","interest rate analysis, global financial trends, economic policy impacts, debt crisis exploration, inflation and recession, investment strategy insights, documentary style analysis, interview format discussions, investigative deep-dives, narrative storytelling"
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Brooklyn Savvy Talk Show | Shifting Narratives ,UCJhHJj9-eBHNtFqBTmAyYMw,https://www.youtube.com/@brooklynsavvy,38500,Social change and cultural analysis,1,2025-10-27T14:03:07.907150,0.879,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style","cultural analysis discussions, social change narratives, systemic issues exploration, hip-hop cultural impact, technology and society, relationship dynamics analysis, interview format discussions, documentary storytelling style, investigative journalism approach, narrative-driven content"
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,War & Geopolitics Insights,UChTYUFo4pWhDiSwn9NQJwHQ,https://www.youtube.com/@wargeopoliticsinsights,94600,Global conflicts and geopolitical analysis,1,2025-10-27T14:00:58.681835,0.86,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style","cybersecurity threat analysis, military strategy insights, geopolitical tension breakdown, international conflict analysis, global power dynamics, regional security challenges, documentary-style storytelling, expert panel discussions, in-depth geopolitical analysis, narrative-driven explorations"
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Zeihan on Geopolitics,UCsy9I56PY3IngCf_VGjunMQ,https://www.youtube.com/@zeihanongeopolitics,901000,Geopolitical analysis and insights,1,2025-10-27T13:56:26.712239,0.86,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style","geopolitical conflict analysis, military intervention insights, international relations dynamics, global power shifts, nuclear policy discussions, economic sanctions impact, expert panel discussions, documentary-style presentations, geopolitical storytelling, in-depth interviews"
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,BE THEE COMMENTATOR,UCgICvp2wLhrBKZXt73tw9bw,https://www.youtube.com/@betheecommentator,115000,Fame and scandal storytelling analysis,1,2025-10-27T14:00:44.756135,0.85,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style","celebrity scandal analysis, fame downfall stories, redemption narratives, public figure controversies, celebrity biography insights, scandal impact analysis, documentary storytelling, narrative documentary style, investigative storytelling, deep-dive documentaries"
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Social Impact,UCUSdTGNcA6sEef-GDz8wtFg,https://www.youtube.com/@socialimpact9,19200,Social change and awareness storytelling,1,2025-10-27T14:04:33.923751,0.83,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style","social justice storytelling, community awareness campaigns, legal rights education, public awareness initiatives, social issue documentaries, cultural heritage narratives, documentary style storytelling, interview format discussions, investigative reporting style, narrative-driven content"
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Investigative Reporting Lab,UC2eqprx_bNy3SmR62rLxqhg,https://www.youtube.com/@irlmacedonia,19700,Investigative journalism and storytelling,1,2025-10-27T14:04:20.669682,0.82,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style","corporate corruption exposé, environmental disaster investigations, political scandal analysis, urban development controversies, financial fraud stories, public safety failures, documentary storytelling approach, in-depth interview format, narrative podcast series, investigative documentary style"
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Ben Shapiro,UCnQC_G5Xsjhp9fEJKuIcrSw,https://www.youtube.com/@benshapiro,7220000,Conservative political commentary and analysis,1,2025-10-27T13:53:35.297536,0.8,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style","political debate analysis, conservative policy critique, social safety net discussion, media bias commentary, political reaction videos, conservative ideology exploration, interview format discussions, debate-style presentations, reaction video format, news analysis segments"
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Hannah Alonzo,UCGKUQte8RBCNnI_OYpckErg,https://www.youtube.com/@hannahalonzo,813000,Commentary on MLMs and social media culture,1,2025-10-27T13:56:54.564908,0.783,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style","mlm horror stories, influencer culture critique, social media ethics, anti-mlm commentary, online scam exposure, influencer marketing analysis, documentary style analysis, narrative storytelling approach, investigative commentary, deep-dive discussions"
