Tier,Seed_Channel_Name,Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Reason,Discovered_Channel_URL
-1,Vox,threadbare,13400,0.47195384,0.381,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@threadbarevids
-1,Vox,Future Business Tech,152000,0.47039628,0.437,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@futurebusinesstech
-1,Vox,BBC World Service,1640000,0.46995887,0.352,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@bbcworldservice
-1,Vox,meg,17800,0.469667,0.401,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@normalgirlmakesclothes
-1,Vox,Jasmine Star,80500,0.46871847,0.379,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@officialjasminestar
-1,Vox,Meditations for the anxious mind,306000,0.46850365,0.43,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@meditationsfortheanxiousmind
-1,Vox,Jarrett Moore,81000,0.46760023,0.379,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@jarrettmoore6458
-1,Vox,The Deep End w/Taylor Welch,491000,0.46164545,0.377,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@taylorawelch
-1,Vox,Tiff In Tech,568000,0.45880187,0.416,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@tiffintech
-1,Vox,PragerU Kids,125000,0.45858306,0.352,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@pragerukids
-1,Vox,Motivation Core,433000,0.45729214,0.447,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@m_core
-1,Vox,Sociology Live!,17400,0.4552378,0.424,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@sociologylive4343
-1,Vox,The Body Language Guy,918000,0.45488074,0.367,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@thebodylanguageguy
-1,Vox,Business Upside,13100,0.45454183,0.43,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@businessupside
-1,Vox,MSL Talk,11500,0.4536426,0.373,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@msltalk
-1,Vox,Candace Owens,5510000,0.45000327,0.269,ERROR: name 'seed_keywords_str' is not defined,https://www.youtube.com/@realcandaceo
