Tier,Seed_Channel_Name,Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Reason,Discovered_Channel_URL
2,Vox,Uneducated Economist,158000,0.5340272,0.453,"Niche is Related. Seed's niche is 'Explanatory Journalism' focusing on societal issues and current events, while Candidate's inferred niche is 'Economic Commentary'. Both channels aim to 'explain' complex topics, and their formats are similar in providing analysis, making them niche competitors.",https://www.youtube.com/@uneducatedeconomist
2,Vox,Unsolicited advice,791000,0.5563631,0.442,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Philosophical Commentary'. Both channels aim to 'explain' complex ideas, and their formats are similar as both utilize a documentary-style approach, but their core niches are not identical.",https://www.youtube.com/@unsolicitedadvice9198
2,Vox,tiffanyferg,829000,0.54286635,0.455,"Niche is Related. Seed's niche is 'Explanatory Journalism' while Candidate's inferred niche is 'Internet Analysis'. Both channels aim to 'explain' complex societal issues, and their formats are similar as both utilize a documentary-style approach, making them niche competitors.",https://www.youtube.com/@tiffanyferg
2,Vox,Museum of Science,786000,0.52403206,0.471,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Science and Technology Exploration'. Both channels aim to 'explain' complex topics, and their formats are similar, but the core niches are not identical.",https://www.youtube.com/@museumofscience
2,Vox,New Money,1070000,0.5380588,0.485,"Niche is Related. Seed's niche is 'Explanatory Journalism' focusing on societal issues and current events, while Candidate's inferred niche is 'Economic Commentary' with a focus on financial analysis and market trends. Both channels aim to 'explain' complex topics, and their formats are similar, making them niche competitors.",https://www.youtube.com/@newmoneyyoutube
2,Vox,Jordan B Peterson,8820000,0.55507374,0.457,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Psychological and Societal Commentary'. Both aim to 'explain' complex issues, and their formats are similar in being analytical discussions, making them niche competitors.",https://www.youtube.com/@jordanbpeterson
2,Vox,TDC,1080000,0.50942993,0.492,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Urban and Societal Analysis'. Both channels aim to 'explain' complex issues, and their formats are similar, but the core niches are not identical.",https://www.youtube.com/@thedailyconversation
2,Vox,Sprouts,1900000,0.50015455,0.434,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Psychological and Societal Analysis'. Both channels aim to 'explain' complex issues, and their formats are similar, making them niche competitors.",https://www.youtube.com/@sprouts
2,Vox,Washington Policy Center,20500,0.50665593,0.477,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Political and Economic Commentary'. Both channels aim to 'explain' complex issues, and their formats are similar in providing analysis, making them niche competitors.",https://www.youtube.com/@washingtonpolicycenter
2,Vox,Olurinatti ,198000,0.5013084,0.433,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Cultural and Political Commentary'. Both channels aim to 'explain' and analyze complex issues, and their formats are similar in style, but the core niches are adjacent rather than identical.",https://www.youtube.com/@olurinatti
2,Vox,Principles by Ray Dalio,2970000,0.5181731,0.461,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Economic Analysis'. Both channels aim to 'explain' complex topics, and their formats are similar, making them niche competitors.",https://www.youtube.com/@principlesbyraydalio
2,Vox,J.J. McCullough,1000000,0.51800454,0.499,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Cultural and Political Commentary'. Both channels aim to 'explain' complex topics, and their formats are similar, but the core niches are not identical.",https://www.youtube.com/@jjmccullough
2,Vox,CatholicVote Education,28000,0.60304725,0.501,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Cultural and Political Commentary'. Both channels aim to 'explain' complex issues, and their formats are similar in being analytical, but they focus on different aspects of societal issues.",https://www.youtube.com/@catholicvoteeducation
2,Vox,Freethink,1360000,0.6767226,0.511,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Future Trends and Innovations'. Both channels aim to 'explain' complex topics, and their formats are similar in being documentary-style, but their core niches are adjacent, not identical.",https://www.youtube.com/@freethink
2,Vox,Be Smart,5690000,0.47212738,0.424,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Science and Technology Explained'. Both channels aim to 'explain' complex topics, and their formats are similar, but the core niches are not identical.",https://www.youtube.com/@besmart
2,Vox,YaleCourses,1630000,0.47264752,0.424,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Historical Analysis'. Both channels aim to 'explain' complex topics, and their formats are similar as they both utilize a documentary-style approach, making them niche competitors.",https://www.youtube.com/@yalecourses
2,Vox,BBC World Service,1640000,0.46995887,0.352,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Global News Analysis'. Both channels aim to 'explain' complex issues, and their formats are similar as they both utilize a documentary-style approach, making them niche competitors.",https://www.youtube.com/@bbcworldservice
2,Vox,Future Business Tech,152000,0.47039628,0.437,"Niche is Related. Seed's niche is 'Explanatory Journalism' focusing on societal issues and current events, while Candidate's inferred niche is 'Future Technology Analysis'. Both channels aim to 'explain' complex topics and utilize a documentary-style format, but their core niches are adjacent, not identical.",https://www.youtube.com/@futurebusinesstech
2,Vox,meg,17800,0.469667,0.401,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Cultural Commentary'. Both channels aim to 'explain' and use a 'Video Essay' format, but their core niches are adjacent, focusing on societal issues and cultural trends respectively.",https://www.youtube.com/@normalgirlmakesclothes
2,Vox,IMF,199000,0.4786545,0.475,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Economic Analysis'. Both channels aim to 'explain' complex topics, and their formats are similar in being documentary-style, making them niche competitors.",https://www.youtube.com/@imf
2,Vox,Strong Medicine,778000,0.47270286,0.446,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Medical Commentary and Analysis'. Both channels aim to 'explain' complex topics, and their formats are similar in being analytical, but they focus on different core subjects.",https://www.youtube.com/@strongmed
2,Vox,StarTalk,5160000,0.47329184,0.384,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Science and Technology Commentary'. Both channels aim to 'explain' complex topics, and their formats are similar in being documentary-style, but they focus on different core subjects.",https://www.youtube.com/@startalk
2,Vox,Alex O'Connor,1730000,0.49346548,0.365,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Philosophical and Existential Analysis'. Both channels aim to 'explain' complex ideas, and their formats are similar, but their core niches are adjacent, not identical.",https://www.youtube.com/@cosmicskeptic
2,Vox,PBS Terra,800000,0.48968813,0.474,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Environmental Science and Analysis'. Both channels aim to 'explain' complex topics, and their formats are similar, but the core niches are not identical.",https://www.youtube.com/@pbsterra
2,Vox,Jarrett Moore,81000,0.46760023,0.379,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Cultural and Social Commentary'. Both channels aim to 'explain' and analyze complex topics, but their core niches are adjacent rather than identical.",https://www.youtube.com/@jarrettmoore6458
2,Vox,Meditations for the anxious mind,306000,0.46850365,0.43,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Cultural Analysis'. Both channels aim to 'explain' complex issues, and their formats are similar, but the core niches are adjacent rather than identical.",https://www.youtube.com/@meditationsfortheanxiousmind
2,Vox,Sociology Live!,17400,0.4552378,0.424,"Niche is Related. Seed's niche is 'Explanatory Journalism', while Candidate's inferred niche is 'Sociological Analysis'. Both channels aim to 'explain' complex topics, and their formats are similar, but the core niches are adjacent rather than identical.",https://www.youtube.com/@sociologylive4343
3,Vox,CBC Kids News,256000,0.4766272,0.412,"Format Mismatch. Seed's format is 'Documentary-style videos' focused on in-depth analysis, while Candidate's titles suggest a 'Kids News' format that is more geared towards brief, accessible explanations for a younger audience. Although both cover topics like current events and societal issues, the formats are not directly competitive.",https://www.youtube.com/@cbckidsnews
4,Vox,JREG,567000,0.5563092,0.49,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Political Commentary and Satire'. The intent is to critique and entertain rather than to explain complex societal issues, making this irrelevant.",https://www.youtube.com/@jreg
4,Vox,Moon,1570000,0.54074836,0.49,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's titles suggest a focus on sensational commentary and entertainment critique. The intent is to provoke and entertain rather than to provide comprehensive explanations of complex issues, making it irrelevant.",https://www.youtube.com/@moon-real
4,Vox,FaceTatt Philosophy ,38600,0.5385202,0.461,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Cultural Commentary and Music Analysis'. The intent is to analyze cultural phenomena rather than provide comprehensive explanations of complex societal issues, making it irrelevant.",https://www.youtube.com/@sagethis
4,Vox,Investing Basics,277000,0.53636783,0.481,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Investment Commentary'. The intent is to provide investment warnings and strategies, which does not align with the goal of explaining societal issues or current events.",https://www.youtube.com/@investingbasicsyt
4,Vox,Bernie Sanders,1160000,0.5462579,0.414,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's titles focus on live political events and rallies, indicating a niche centered around political activism and commentary. The intent is to mobilize and inform about political actions, not to provide comprehensive explanations of complex issues.",https://www.youtube.com/@berniesanders
4,Vox,RoyaltyIsHere,226000,0.48946536,0.386,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Controversial Commentary on Internet Culture and Personalities'. The intent is to critique or comment on specific individuals and events, not to provide comprehensive explanations of complex societal issues.",https://www.youtube.com/@royaltyishere
4,Vox,Solar Sands,1430000,0.5110364,0.467,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's titles suggest a focus on 'Cultural Commentary and Artistic Analysis'. The intent is to explore and critique cultural phenomena rather than provide comprehensive explanations of societal issues, making it irrelevant.",https://www.youtube.com/@solarsands
4,Vox,Blair (Whatitis),15300,0.5044361,0.346,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Social Commentary and Internet Culture Analysis'. The intent is to critique and comment on social trends, which does not align with the Seed's focus on comprehensive explanations of complex issues.",https://www.youtube.com/@whatitis
4,Vox,Know Your Meme,493000,0.49013388,0.405,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Meme Analysis and Internet Culture'. The intent is to explain memes and internet phenomena, which does not align with the goal of providing comprehensive explanations of complex societal issues.",https://www.youtube.com/@knowyourmeme
4,Vox,State of Kait,98800,0.49257234,0.504,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Cultural Commentary on Social Media Trends'. The intent is to critique trends rather than provide comprehensive explanations of complex issues, making it irrelevant.",https://www.youtube.com/@stateofkait
4,Vox,Visual Venture,1360000,0.48695958,0.438,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Internet Culture and Disturbing Content'. The intent is to entertain and shock rather than to provide informed analysis, making this irrelevant.",https://www.youtube.com/@visualventure
4,Vox,Mike Winger,926000,0.48496285,0.363,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Christian Commentary and Cultural Critique'. The intent is to critique religious and cultural issues, which does not align with the Seed's focus on comprehensive explanations of societal issues.",https://www.youtube.com/@mikewinger
4,Vox,Students for Life of America,360000,0.4815816,0.384,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's titles focus on 'Pro-Life Advocacy' and 'Political Commentary' related to abortion. The intent is to advocate and debate, not to provide comprehensive explanations of societal issues.",https://www.youtube.com/@studentsforlife
4,Vox,MindScope,13800,0.47998524,0.466,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Mental Health and Personal Development'. The intent is to provide psychological insights rather than societal critique or analysis, making it irrelevant.",https://www.youtube.com/@mindscopechannel
4,Vox,The Paint Explainer,1590000,0.4863208,0.427,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'True Crime and Historical Mysteries'. The intent is to entertain and inform about specific events rather than to provide comprehensive explanations of complex societal issues.",https://www.youtube.com/@thepaintexplainer
4,Vox,vlogbrothers,4050000,0.6435554,0.533,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is more personal and reflective, focusing on individual experiences and thoughts. The intent is to share personal insights rather than to provide comprehensive explanations of complex issues, making it irrelevant.",https://www.youtube.com/@vlogbrothers
4,Vox,Sargon of Akkad,957000,0.61539656,0.543,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Political Commentary and Critique'. The intent is to critique political issues rather than to explain complex societal topics, making this irrelevant.",https://www.youtube.com/@sargonofakkad
4,Vox,Aperture,2430000,0.5911099,0.487,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Philosophical Exploration and Personal Development'. The intent is to explore philosophical concepts rather than provide comprehensive explanations of societal issues, making it irrelevant.",https://www.youtube.com/@aperturethinking
4,Vox,Jasmine Star,80500,0.46871847,0.379,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Business and Personal Branding'. The intent is to provide business insights and personal growth strategies, which is fundamentally different from the Seed's focus on societal issues and complex topics.",https://www.youtube.com/@officialjasminestar
4,Vox,threadbare,13400,0.47195384,0.381,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Internet Mysteries and Disturbing Content'. The intent is to explore and entertain rather than to provide comprehensive explanations of societal issues, making this irrelevant.",https://www.youtube.com/@threadbarevids
4,Vox,Queen,149000,0.4722563,0.365,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Psychological Insights'. The intent is to analyze psychology rather than societal issues or current events, making it irrelevant.",https://www.youtube.com/@queen3369
4,Vox,The Deep End w/Taylor Welch,491000,0.46164545,0.377,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Spiritual and Occult Commentary'. The intent is to explore spiritual concepts rather than analyze societal issues or current events, making it irrelevant.",https://www.youtube.com/@taylorawelch
4,Vox,Tiff In Tech,568000,0.45880187,0.416,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Tech Commentary and Analysis'. The intent is to analyze technology trends, not societal issues or current events, making it irrelevant.",https://www.youtube.com/@tiffintech
4,Vox,PragerU Kids,125000,0.45858306,0.352,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Educational Content for Kids' focusing on economics and history. The intent is to educate children, not to provide in-depth societal analysis, making this irrelevant.",https://www.youtube.com/@pragerukids
4,Vox,Motivation Core,433000,0.45729214,0.447,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Political Commentary and Motivational Content'. The intent is to motivate and comment on political issues, not to provide comprehensive explanations of complex societal topics.",https://www.youtube.com/@m_core
4,Vox,The Body Language Guy,918000,0.45488074,0.367,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's titles suggest a focus on 'Body Language Analysis' and sensational commentary. The intent is to analyze behavior and events rather than provide comprehensive explanations of complex societal issues, making this irrelevant.",https://www.youtube.com/@thebodylanguageguy
4,Vox,Business Upside,13100,0.45454183,0.43,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Investment and Economic Forecasting'. The intent is to predict market trends and provide investment advice, which is fundamentally different from the goal of providing comprehensive explanations of societal issues.",https://www.youtube.com/@businessupside
4,Vox,MSL Talk,11500,0.4536426,0.373,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's inferred niche is 'Career Development and Professional Skills'. The intent is to provide career advice and personal development tips, which is fundamentally different from the Seed's focus on societal issues and complex topics.",https://www.youtube.com/@msltalk
4,Vox,Candace Owens,5510000,0.45000327,0.269,"Niche Mismatch. Seed's niche is 'Explanatory Journalism and In-depth Analysis', while Candidate's titles suggest a focus on 'Political Commentary and Controversial News'. The intent is to provoke discussion rather than to provide comprehensive explanations, making it irrelevant.",https://www.youtube.com/@realcandaceo
