Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Video_Count,Discovered_Niche,Language,LLM_Score,Embedding_Score,Discovered_Channel_Description,Discovered_Keywords,Seed_Keywords,Level,Timestamp,Discovered_Country
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,RubyandBonnie,UC_wITz-Ze4JFc3WLQA1n3Hw,https://www.youtube.com/@rubyandbonnie,10000000,749,Family Entertainment - Vlog,en,0.1,0.409,"Ruby and Bonnie are sisters and we create a series of educational, funny and entertaining family friendly videos. We hope you enjoy our show :)","fun challenges, kids challenge videos, back to school challenge, switch up challenge, funny kids challenges, halloween special, pumpkin painting, trick or treat fun, halloween activities, kids halloween videos, robot helper, imaginative play, fun playtime, creative kids videos, kids play ideas, family movie night, home cinema ideas, family fun videos, kids entertainment, family friendly content, wizardry school, school story videos, kids school adventures, fun school stories, school themed videos","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:40:27.347882,GB
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Jenny Hoyos,UC6YjT1TJaANveVGQ4vl1CIg,https://www.youtube.com/@jennyhoyos,9900000,448,Faith and Inspiration - Vlog,en,0.22,0.602,"proving the best things in life are free! (like my videos 😉)

✝️ | Ecclesiastes 11:4
💌 | Team@JennyHoyos.com
👩‍⚖️ | Tyler@TylerChouLaw.com ","daily vlogs, funny moments, lifestyle videos, personal vlogs, day in the life, home theater build, diy projects, home improvement, creative diy, diy home decor, viral challenges, trending dances, fun challenges, viral trends, dance challenges, shopping haul, fun shopping, shopping tips, grocery haul, shopping vlog, fun math tricks, educational fun, math tricks, learning fun, educational videos","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:55:04.090720,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Mark Tilbury,UCxgAuX3XZROujMmGphN_scA,https://www.youtube.com/@marktilbury,7090000,286,Entrepreneurship - Talking-Head Analysis,en,0.79,0.887,"I firmly believe that anyone who learns the skill sets of a millionaire can become a millionaire, ANYONE.

My Story: 

I left school at 16 with no qualifications and no money. No one believed in me especially my teachers. My first job was making wooden trash cans, and it paid less than $2 per hour. My manager bullied me and gave me all the bad jobs. I decided to quit and start my own business, it was a big risk.

30 years later...

I run a multi-million dollar business. I have grossed over 50 million. I have the house of my dreams and most importantly I have the freedom to spend time with my family. 

Now I want to help you become financially free as well. 

Socials name is @MarkTilbury on Tiktok, YouTube, Twitter & IG📸

","financial freedom, credit card tips, money management, wealth building, how to save money, start a business, business ideas, entrepreneur tips, business growth, how to succeed, self improvement, life success, motivation tips, personal growth, how to win, why people are poor, economic traps, financial pitfalls, banking secrets, money myths","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:54:51.308696,GB
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Sideserf Cake Studio,UChKQYI9z5rO_sdNjhwyyjSg,https://www.youtube.com/@sideserfcakes,6920000,881,Cake Art - Educational Tutorials,en,0.16,0.396,"My name is Natalie Sideserf and I make cakes that don't look like cakes 💚 You can make fun cakes using Edible Clay 👉 BuyEdibleClay.com

Sideserf Cake Studio
1530 Sun City Blvd
Ste 120 #569
Georgetown, TX 78633
","realistic cakes, cake decorating, cake art, hyper realistic cakes, cake sculpting, food experiments, edible art, creative baking, food challenges, experimental cooking, asmr cake, asmr baking, asmr food, asmr eating, asmr sounds, lego cake, lego art, lego building, lego creations, lego projects, pop culture cakes, themed cakes, character cakes, movie cakes, cartoon cakes","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:33:33.754420,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Prince Ea,UCDgUAAHgsV2fFZQm2fIWBnA,https://www.youtube.com/@princeea,6600000,340,Personal Development - Spoken Word,en,0.58,0.899,"PRINCE EA - Richard Williams, better known by his stage name Prince EA, is a spoken word artist, international keynote speaker, and rights activist from St Louis, Missouri. My goal for this channel is to make people laugh, cry, think, and love with the ultimate goal to evolve.


Business Inquiries: Info@PrinceEa.com","self improvement, life purpose, personal growth, mindset shift, motivation tips, make money online, financial freedom, wealth building, passive income, money mindset, productivity tips, time management, habits and routines, life hacks, stress relief, career advice, business ideas, entrepreneurship tips, how to start a business, career growth, healthy lifestyle, live longer, wellness tips, mental health, stress management","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:06:29.886883,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,NetworkChuck,UC9x0AN7BWHpCDHSm9NiJFJQ,https://www.youtube.com/@networkchuck,4920000,531,IT Education - Educational Tutorials,en,0.66,0.706,"Welcome to NetworkChuck!

I LOVE Information Technology!! My goal is to help as MANY PEOPLE AS POSSIBLE jump into a career in the IT field through obtaining IT Certifications. I talk about Cisco Certifications, CompTIA, AWS, Microsoft...pretty much EVERYTHING in IT. As a CBT Nuggets Trainer, it's also my passion to TEACH information technology and to make it FUN. 

If your goals are to obtain your CCNA, CompTIA A+, CompTIA Network+...I'm here to help you with that goal in any way I can!

*****Interested in Sponsoring NetworkChuck? Email chuck@networkchuck.com","ai tools, ai supercomputer, chatgpt hacks, ai image tricks, nvidia ai, secure remote access, network security, twingate tutorial, cloud computing, kubernetes tips, tech gadgets 2025, nvidia dgx spark, ai device review, latest tech reviews, tech unboxing, productivity tips, efficient workflows, time management, work smarter, tech productivity","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T20:34:34.273119,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,GaryVee,UCctXZhXmG-kf3tlIXgVZUlw,https://www.youtube.com/@garyvee,4720000,6417,Entrepreneurship - Vlog,en,0.61,0.871,"Gary Vaynerchuk is a serial entrepreneur and serves as the Chairman of VaynerX, the CEO of VaynerMedia, and the Creator and CEO of VeeFriends. Gary is considered one of the leading global minds on what’s next in culture, relevance, and the internet. Known as “GaryVee,” he is described as one of the most forward thinkers in business. He is a prolific angel investor with early investments in companies like Facebook, Twitter, Tumblr, Venmo, Snapchat, Coinbase, and Uber.

In addition to running multiple businesses, Gary documents his daily life as a CEO through his social media channels, which have more than 45 million followers and garner over 300 million monthly impressions/views across all platforms. Gary serves on the board of MikMak, Bojangles Restaurants, Global Citizen Forum, and Pencils of Promise. He is also a longtime Well Member of charity: water.
","start a business, business ideas 2025, entrepreneur tips, small business ideas, business growth, social media tips, grow on social media, social media strategy, build personal brand, content marketing, brand strategy, build a brand, branding tips, brand identity, brand growth, productivity tips, stay motivated, time management, self improvement, daily habits, future of business, 2025 trends, business trends, future marketing, emerging markets","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:24:11.260339,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Motivation2Study,UC8PICQUP0a_HsrA9S4IIgWw,https://www.youtube.com/@motivation2study,4600000,816,Motivation - Documentary,en,0.46,0.801,"Our mission is to inspire, educate and help students of all ages with both lack of motivation and mental health awareness. We work with motivational speakers to create life changing motivational videos to help us achieve this goal.

Subscribe for a new Motivational Video on Success, Study Tips, and/or Mental Health every Sunday!","david goggins motivation, self improvement, mental toughness, discipline and focus, change your life, future jobs 2030, ai job impact, ai and careers, future of work, ai experts, study motivation, productivity tips, focus on yourself, get it done, study inspiration, mindset change, personal growth, life transformation, achieve your goals, push your limits, ultramarathon training, endurance athlete, fitness motivation, navy seal mindset, extreme discipline","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:21:21.177025,CA
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Ashton Hall,UCq9DI1Mv2m-bCNL3tsTYRaw,https://www.youtube.com/@ashtonhallofficial,4370000,512,Self-Improvement - Vlog,en,0.28,0.71,"For His Glory 🙏🏾
You can reinvent your entire life in 1 year

http://link.me/ashtonhall","men's grooming, self care routine, men's skincare, self improvement, mental health tips, gym routine, natural bodybuilding, fitness motivation, workout tips, muscle building, overcoming challenges, stay motivated, push through pain, keep going motivation, inspirational stories, nice guys finish last, life advice, personal growth, life lessons, relationship advice","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:11:41.583561,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Hooray Kids Songs & Nursery Rhymes,UCNKbE_ac5P_OaPraUoCxvKA,https://www.youtube.com/@hooraykidssongs,4170000,289,Children's Entertainment - Music Videos,en,0.1,0.274,"Hooray Kids Songs & Nursery Rhymes offers funny children's music and videos to laugh, learn, sing along, dance, play and interact with your toddler. Have fun and enjoy!
We want to make life easier for parents: Keep your child safe and happily entertained. Our videos are an opportunity to teach and play with your kids giving you the peace of mind that your children are receiving quality content. For regular updates and more funny kids songs, nursery rhymes and videos subscribe here: http://bit.ly/HoorayKidsYT","kids songs, nursery rhymes, children's music, lullaby songs, bedtime songs, learning songs, abc songs, counting songs, educational videos, kids learning, animal songs, songs about animals, funny animal songs, kids animal music, animal nursery rhymes, sleep music kids, relaxing kids songs, calm music children, kids bedtime music, lullabies for sleep, fun kids songs, playtime music, dance songs kids, kids action songs, interactive songs","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:14:01.266526,US
Ali Abdaal,UCoOae5nYA7VqaXzerajD0lg,Productivity - Educational Tutorials,Connor And Liana,UC949o8thQEP15p9_VK69Vbw,https://www.youtube.com/@connorandliana,4060000,858,Family & Lifestyle - Vlog,en,0.13,0.54,"Welcome Home


","family vloggers, daily family life, family adventures, family fun, family moments, parenting tips, mom life, family lifestyle, parenting journey, life with kids, easy baking recipes, family baking, baking with kids, simple dessert recipes, home cooking, autumn bucket list, seasonal activities, holiday crafts, seasonal family fun, holiday traditions, new music releases, music vlogs, music lifestyle, indie music, music journey","build a business, lifestyle business, boring business ideas, entrepreneurship 2025, make money online, business ideas for beginners, how to start a business, financial freedom, get rich, passive income, how to make money, wealth building, millionaire habits, money mindset, productivity tips, how to change your life, self improvement, time management, habits and routines, discipline and motivation, overthinking, youtube growth, how to start a youtube channel, creator business, content creator, personal brand, solopreneur, ai for entrepreneurs, ai productivity tools, how to use ai for business, ai workflow, ai tools 2025",1,2025-10-29T21:13:10.067375,GB
