Tier,Discovered_Channel_Name,Discovered_Niche,LLM_Score,Embedding_Score,Discovered_Subs,Discovered_Country,Method,Reason
2,Nikko Montanez,Entrepreneurship - Educational Tutorials,0.73,0.782,205000,US,LLM_SCORE,LLM Score >= 0.7
2,Noah Sioly,Self-Improvement - Educational Tutorials,0.73,0.861,199000,Unknown,LLM_SCORE,LLM Score >= 0.7
2,Ü STAMPS,Entrepreneurship - Educational Tutorials,0.73,0.75,17100,Unknown,LLM_SCORE,LLM Score >= 0.7
3,Mark Manson,Self-Improvement - Talking-Head Analysis,0.67,0.75,2870000,US,EXTRA_LLM_VALIDATION,"Both channels focus on personal growth and self-improvement, using an educational format to provide strategies and insights for achieving success and resilience."
3,Tam Kaur,Self-Improvement - Educational Tutorials,0.67,0.836,1750000,GB,EXTRA_LLM_VALIDATION,"Both channels focus on self-improvement and personal growth, using an educational tutorial format to help viewers achieve their goals and enhance their lives."
3,Rise Above Mediocrity ,Self-Improvement - Educational Tutorials,0.67,0.862,53500,Unknown,EXTRA_LLM_VALIDATION,"Both channels focus on personal growth and success strategies, with similar educational tutorial formats aimed at motivating and guiding viewers in achieving their goals."
3,Simon Alexander Ong,Personal Development - Talking-Head Analysis,0.62,0.814,173000,GB,EXTRA_LLM_VALIDATION,"Both channels focus on personal development and self-improvement, using a similar educational tutorial format to provide life advice and strategies for success."
3,Mindset Fuel,Mindset - Shorts,0.67,0.886,26700,US,EXTRA_LLM_VALIDATION,"Both channels focus on personal growth and self-improvement with a similar educational format, making them direct competitors in the personal development niche."
3,Success Secrets TV,Success Secrets - Educational Tutorials,0.67,0.891,1370000,NG,EXTRA_LLM_VALIDATION,"Both channels focus on personal growth and success strategies, using an educational format to deliver similar content aimed at self-improvement and financial freedom."
3,Success Affection,Motivational Content - Shorts,0.56,0.891,227000,Unknown,EXTRA_LLM_VALIDATION,"Both channels focus on personal growth and success strategies, using a motivational and educational format that appeals to similar audiences."
2,ira,Productivity - Educational Tutorials,0.76,0.681,39000,Unknown,LLM_SCORE,LLM Score >= 0.7
2,Rise With Rahul,Entrepreneurship - Educational Tutorials,0.76,0.875,280000,Unknown,LLM_SCORE,LLM Score >= 0.7
2,Study To Success,Education - Educational Tutorials,0.73,0.766,2140000,US,LLM_SCORE,LLM Score >= 0.7
3,Art of Charm,Self-Improvement - Podcast/Interviews,0.67,0.781,66400,US,EXTRA_LLM_VALIDATION,"Both channels focus on self-improvement and personal growth, using an educational format to provide strategies and advice, making them direct content competitors."
3,Proctor Gallagher Institute,Life Coaching - Educational Tutorials,0.67,0.784,2230000,US,EXTRA_LLM_VALIDATION,"Both channels focus on personal growth and self-improvement strategies, utilizing an educational format to provide actionable insights and coaching techniques."
