Seed_Channel_Name,Seed_Niche,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Similarity_Score
Vox,News analysis and storytelling,Channel 4 Documentaries,True crime and investigative documentaries,978000,0.888
Vox,News analysis and storytelling,DW Documentary,Global documentaries and current affairs,6250000,0.86
Vox,News analysis and storytelling,Jubilee,Social issues and political debates analysis,10500000,0.853
Vox,News analysis and storytelling,Culture Crack,Media and culture storytelling/analysis,13300,0.847
Vox,News analysis and storytelling,Gravitas Documentaries,Documentaries on diverse global topics,211000,0.839
Vox,News analysis and storytelling,AgentOfDoubt,Social issues analysis and commentary,12300,0.838
Vox,News analysis and storytelling,GRAND ONE,Indian political news and analysis,48500,0.829
Vox,News analysis and storytelling,Technically Creative by KoobrikLabs,AI-driven storytelling and content creation analysis,130000,0.826
Vox,News analysis and storytelling,Archaix ,Ancient mysteries and simulation analysis,179000,0.822
Vox,News analysis and storytelling,Our Changing Climate,Eco-socialism analysis and advocacy,541000,0.819
Vox,News analysis and storytelling,Lessons in Internet Culture,Educational analysis of internet trends,152000,0.818
Vox,News analysis and storytelling,Deep Dive True Crime,True crime case investigations and analysis,166000,0.813
Vox,News analysis and storytelling,Wartime Stories,War and military storytelling and analysis,774000,0.808
Vox,News analysis and storytelling,Collider Interviews,Entertainment industry news and analysis,112000,0.803
Vox,News analysis and storytelling,Channeled Predictions,Psychic predictions and prophecy analysis,12800,0.797
Vox,News analysis and storytelling,HISTORY,Historical documentaries and storytelling,15000000,0.794
Vox,News analysis and storytelling,Campfire Stories,Ecological storytelling and lifestyle analysis,99300,0.793
Vox,News analysis and storytelling,Feldup,Internet mysteries and analysis,1780000,0.789
Vox,News analysis and storytelling,tiffanyferg,Pop culture and internet analysis,828000,0.783
Vox,News analysis and storytelling,Joseph Tittel,Spiritual predictions and analysis,54100,0.78
Vox,News analysis and storytelling,True Story Documentary Channel,True stories and documentaries,350000,0.778
Vox,News analysis and storytelling,Eugene DingleBerry,Entertaining storytelling and social experiments,1180000,0.762
Vox,News analysis and storytelling,Micro Docs,Real-life storytelling documentaries,390000,0.762
Vox,News analysis and storytelling,Galatta Plus,Indian cinema interviews and analysis,496000,0.757
Vox,News analysis and storytelling,Predictive History,Historical analysis and future predictions,806000,0.756
Vox,News analysis and storytelling,interviewing.io,Technical interview preparation and mentorship,93600,0.75
