Channel_ID,Channel_Name,Date_Added,Processing_Status,Embedding_Score,LLM_Score
UC6VcWc1rAoWdBCM0JxrRQ3A,Rockstar Games,2025-10-25T18:23:46.317078,scored,0.556,0.2
UCn40b-HSpa8FC5GLz_C6WMw,OOOnce,2025-10-25T18:23:46.317078,scored,0.842,0.7
UCb-capTCx4yI3fjZrtDKKEw,Olurinatti ,2025-10-25T18:23:46.317078,scored,0.801,0.4
UCkEeNJue8P7moYZm0Ptrn5A,Business Stories,2025-10-25T18:23:46.317078,scored,0.785,0.8
UCZLVr1-144LsPDrWR1cyqWQ,Tom Hegna,2025-10-25T18:23:46.317078,scored,0.712,0.5
UChdzsRlyeWNKU34smWDcUOA,Hot Gossip,2025-10-25T18:23:46.317078,scored,0.604,0.3
UCidUOsd7t3LS1G4Q4O5ND8g,DjaayMusic,2025-10-25T18:23:46.317078,scored,0.455,0.1
UCex6xg5KJ1xLpz85fel_QCg,Hadassah's Haven,2025-10-25T18:23:46.317078,filtered_subs,,
UCljz_M6NK7ASp5u0t2ImfiQ,Icycol,2025-10-25T18:23:46.317078,scored,0.612,0.2
UCzLqOSZPtUKrmSEnlH4LAvw,Drishti IAS,2025-10-25T18:23:46.317078,scored,0.635,0.4
UCkHdBeQ4DuvBXTahMYZVlMA,Kenji Explains,2025-10-25T18:23:46.317078,scored,0.551,0.4
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,2025-10-25T18:23:46.317078,scored,0.551,0.4
UC0PMQXAwF6O6aeTpv962miA,MrBossFTW,2025-10-25T18:23:46.317078,scored,0.494,0.1
UCrLClfmwQqZkc2Y8nSc1J9w,Gta Rage,2025-10-25T18:23:46.317078,scored,0.426,0.1
UCUC3MxBlewPHrnc8QuvJd9w,Ashutosh Pratihast,2025-10-25T18:23:46.317078,scored,0.667,0.6
UCFG0C8AZEeRF0RZMQnszbZg,Mishcon de Reya,2025-10-25T18:23:46.317078,filtered_subs,,
UCLSlY7hbYe7nI39huYp-4QQ,Asiaonenews,2025-10-25T18:23:46.317078,scored,0.607,0.3
UCg52OrQipnl3G5xmZGNUb_w,Explanation Point,2025-10-25T18:23:46.317078,scored,0.566,0.1
UCQw2UZGL56KURDFY7yX359A,DramaBytes TV,2025-10-25T18:23:46.317078,filtered_subs,,
UC5TkdUvFV_6jGjZkwZo62pg,Misterhat,2025-10-25T18:23:46.317078,scored,0.626,0.2
UCgPeJSMnI75Px4p5sZeIOcg,The Fact,2025-10-25T18:23:46.317078,scored,0.486,0.2
UCQ9tjdLSG2CKuHPBMXmGbyw,SA Times,2025-10-25T18:23:46.317078,scored,0.676,0.4
UC-D93oOkMqW_-sAsaTxNczw,The Interesting People You Meet Podcast,2025-10-25T18:23:46.317078,filtered_subs,,
UC9gNRUviorHTmE54cpd6YBA,Japanese Stock Channel,2025-10-25T18:23:46.317078,filtered_subs,,
UCcodAvIIZt7PEbT4g6oQUuQ,Animated Stories,2025-10-25T18:23:46.317078,scored,0.588,0.4
UCItDib9iMskcm3eVOtlgSrA,CurrentTimes,2025-10-25T18:23:46.317078,filtered_subs,,
UCTQIHQ81qPgkKkUaZyw2yrg,Seth Kniep,2025-10-25T18:23:46.317078,filtered_subs,,
UC_9CeQ9sBN8LpJQrJh-yj1w,BOBBIE-26,2025-10-25T18:23:46.317078,scored,0.631,0.4
UCQky96IjrfzJcSUiCogID6w,Shivanshu Agrawal,2025-10-25T18:23:46.317078,scored,0.725,0.5
UCaMzKz04UyyiGHnLuTm-_Zw,Awami Point,2025-10-25T18:23:46.317078,filtered_subs,,
UCM-cNtdiDQbPbqyKPXikDQg,Adobe Sumit ,2025-10-25T18:23:46.317078,filtered_subs,,
UCfCpiEfEjDcr3Wv45B41MBA,Law Enforcement Insider,2025-10-25T18:23:46.317078,filtered_subs,,
UCqvuLvdIkUjAtSFrKw5LhXg,Basant Maheshwari - The Equity Desk,2025-10-25T18:23:46.317078,scored,0.63,0.5
UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,2025-10-25T18:23:46.317078,scored,0.68,0.4
UCD-zodYZX201IkkJrOzki6Q,The WallStreet School,2025-10-25T18:23:46.317078,scored,0.614,0.4
UChYARX5Yj8CapM-F2Z2vPxA,Adrian Bliss,2025-10-25T18:23:46.317078,scored,0.536,0.2
UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,2025-10-25T18:23:46.317078,scored,0.688,0.5
UCpCkxwEw75_V6tHsJ0GJsqg,videogame gameplay,2025-10-25T18:23:46.317078,filtered_subs,,
UCPn_wlMCqTDUZgC6Xd3nVug,Ultimate Word Definitions,2025-10-25T18:23:46.317078,scored,0.577,0.3
UCoUxsWakJucWg46KW5RsvPw,Financial Times,2025-10-25T18:23:46.317078,scored,0.698,0.5
UC7IdArS3MibBKFsqckq8GhQ,National Dastak,2025-10-25T18:23:46.317078,scored,0.577,0.4
UCnhthRwMNpUZHJnodWMX2ig,top mordT,2025-10-25T18:23:46.317078,filtered_subs,,
UCVzXs-nCVSWSv335CMU48Jg,AllGenVideoHub,2025-10-25T18:23:46.317078,filtered_subs,,
UCSgFgFxBo4--m80M0aAFELA,Andu G,2025-10-25T18:23:46.317078,filtered_subs,,
UCZfTWLrTkaoZoSx5fkrAPJA,hxsain,2025-10-25T18:23:46.317078,scored,0.651,0.4
UCEzbTrLRr084DiNQLsAX03g,Where They Went,2025-10-25T18:23:46.317078,filtered_subs,,
UCGnzz0HFWCRXPX4Vh036uQw,CapEditz219,2025-10-25T18:23:46.317078,scored,0.749,0.2
UC4V7o6rwJCoHPbBb6G7eREg,The Global Stories,2025-10-25T18:23:46.317078,scored,0.765,0.8
UCnoZ26hw0E67_n3_f2U0gdA,Ajmal K,2025-10-25T18:23:46.317078,filtered_subs,,
UCsB0SlQ_my4ybZuOkydZqnQ,MezzPlays,2025-10-25T18:23:46.317078,filtered_subs,,
UCc5whtb5eLlPOBxHClAPVUw,"NPTEL - Indian Institute of Science, Bengaluru",2025-10-25T18:23:46.317078,scored,0.282,0.1
UCUzmizB92LJ9oxf5T_snZNA,BadEmpanada,2025-10-25T18:23:46.317078,scored,0.612,0.2
UChet54FAIxNlkJnsn4ICWtw,Fusion By Deepti ,2025-10-25T18:23:46.317078,filtered_subs,,
UC-Ejgs12lIU4oBo3--ulIoA,Lee & Associates Houston,2025-10-25T18:23:46.317078,filtered_subs,,
UCWx7JXxm2xkTabER32I0GZg,The BarberShop with Shantanu,2025-10-25T18:23:46.317078,scored,0.706,0.6
UCNE227nPPd04KCtOK7_T7UQ,Emma Saying,2025-10-25T18:23:46.317078,scored,0.246,0.1
UC_g2Uw52CcswGQ56i-_dIZA,Crossle,2025-10-25T18:23:46.317078,scored,0.624,0.3
UCpFfLf9o4wJr-yr7dG8gYug,CDN 37,2025-10-25T18:23:46.317078,scored,0.406,0.2
UCiXdw-fLlKZNhjLoasYnGIg,Posit Pixel,2025-10-25T18:23:46.317078,scored,0.693,0.3
UC7D3V93q9DfW7pPvljx1dtw,Jordan Underwood,2025-10-25T18:23:46.317078,filtered_subs,,
UCRbT3P-2tmr-9l8D7jNoZMQ,주식투자 와우넷,2025-10-25T18:23:46.317078,scored,0.218,0.4
UC-CDAp4BwNbBrIfI3UD9EtA,Data Insights With Narayan,2025-10-25T18:23:46.317078,filtered_subs,,
UCXfwPACA3ogteQSSjer4fGA,Withum Wealth Management,2025-10-25T18:23:46.317078,filtered_subs,,
UCQ-UEhur3z7Jn2lS25d5zzw,FD Crime,2025-10-25T18:23:46.317078,scored,0.563,0.4
UC6me-RzbQFQ-kRyr6BlGZWg,Paul E.T.,2025-10-25T18:23:46.317078,scored,0.628,0.2
UCJTY6z_SrU39MIcJxEtmduA,The Valuation School,2025-10-25T18:23:46.317078,scored,0.68,0.5
UCLWQ0CtWrmHHvkUuDREIgYw,AI Century,2025-10-25T18:23:46.317078,scored,0.629,0.3
UCgv3kznl6xE4YQMPksNHApw,Vane Motion,2025-10-25T18:23:46.317078,scored,0.388,0.1
UCvmquBuV2Gfw_OLAIfgUjKQ,thriving,2025-10-25T18:23:46.317078,filtered_subs,,
UCMX41X1am8oYxT336dqk4sA,VTV Gujarati News and Beyond,2025-10-25T18:23:46.317078,scored,0.457,0.1
UCrFc92MXmYm_XD_jCIYy6_w,BLASTERTECHNOLOGY,2025-10-25T18:23:46.317078,scored,0.42,0.2
UCenW7UKjWG7oS1Fyh1S_-7w,The Perfect RIA,2025-10-25T18:23:46.317078,filtered_subs,,
UCSRQ9pHE6CFqEib7rMmvgNw,Business Motiversity,2025-10-25T18:23:46.317078,scored,0.664,0.4
UCtc12tcdm6l_YifC__UjJqA,Jabreel Sagas,2025-10-25T18:23:46.317078,scored,0.622,0.4
UCoE46mpO1dddEpX88SrpMww,WM PASSION,2025-10-25T18:23:46.317078,scored,0.419,0.1
UCPqwspsmjhZnwuee3SiYzAg,meg,2025-10-25T18:23:46.317078,scored,0.763,0.4
UCVK-fhm6SWE33U5LmqqJqKQ,Insaaf World,2025-10-25T18:23:46.317078,filtered_subs,,
UC69uYUqvx-vw4luuX7aHNLQ,True Crime News,2025-10-25T18:23:46.317078,scored,0.518,0.3
UC0UqslUS-xo3i5K67MT40cw,Business Inspection BD,2025-10-25T21:05:51.979944,seed,,
UCOhHO2ICt0ti9KAh-QHvttQ,TechnicalGuruji,2025-10-25T21:05:51.979944,seed,,
UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,2025-10-25T21:05:51.979944,seed,,
