Seed_Channel_Name,Discovered_Channel_Name,LLM_Score,Embedding_Score
MagnatesMedia,Alux.com,0.67,0.833
MagnatesMedia,Rico Rixo,0.47,0.639
MagnatesMedia,Found In Africa,0.54,0.661
MagnatesMedia,FINAiUS,0.87,0.874
MagnatesMedia,The Fat Files,0.56,0.876
MagnatesMedia,Cegielski Twins,0.2,0.345
MagnatesMedia,GuilbeauxFan,0.2,0.208
MagnatesMedia,Red Dead Cljps,0.1,0.272
MagnatesMedia,Iowa PBS,0.4,0.318
MagnatesMedia,Robert Reich,0.54,0.649
MagnatesMedia,Journeyman Pictures,0.43,0.51
MagnatesMedia,Marley Jaxx,0.47,0.756
MagnatesMedia,HeartBeat Dramas,0.4,0.475
MagnatesMedia,Talent Wars,0.4,0.49
MagnatesMedia,Rap Money,0.3,0.372
MagnatesMedia,Theo Von Clips,0.3,0.492
MagnatesMedia,Iman Gadzhi Shorts,0.43,0.795
MagnatesMedia,Abundance Wisdom,0.47,0.836
MagnatesMedia,MegaloMedia,0.67,0.723
MagnatesMedia,KSDK News,0.2,0.293
MagnatesMedia,camman18,0.1,0.329
MagnatesMedia,RodWave,0.1,0.158
MagnatesMedia,Gamers Nexus,0.2,0.287
MagnatesMedia,Cue Banks,0.43,0.563
MagnatesMedia,Alana Fay,0.2,0.326
MagnatesMedia,Red Fairy Tarot,0.2,0.251
MagnatesMedia,Zach Star Himself,0.2,0.472
MagnatesMedia,ArthurTalks,0.54,0.654
MagnatesMedia,More Best Ever Food Review Show,0.2,0.313
MagnatesMedia,Pocket FM Dramas,0.2,0.417
MagnatesMedia,Jesse ON FIRE,0.38,0.571
MagnatesMedia,Business School 101,0.43,0.609
MagnatesMedia,Max Klymenko,0.47,0.668
MagnatesMedia,Motiv Mastery,0.54,0.734
MagnatesMedia,Sellfluence,0.43,0.716
MagnatesMedia,Go With Ali,0.4,0.518
MagnatesMedia,Jeremy Ray Holst,0.43,0.505
MagnatesMedia,Jesse Michels,0.2,0.396
MagnatesMedia,YB Vault,0.1,0.28
MagnatesMedia,Absolute History,0.54,0.536
MagnatesMedia,Mrwhosetheboss,0.2,0.412
MagnatesMedia,WiFi Dollas,0.47,0.717
MagnatesMedia,MyWifeQuitHerJob Ecommerce Channel,0.47,0.768
MagnatesMedia,Sony Pictures Television,0.2,0.48
MagnatesMedia,JRE Clips,0.38,0.558
MagnatesMedia,Real Crime,0.4,0.469
MagnatesMedia,annika's leaf,0.1,0.364
MagnatesMedia,Prime Video India,0.3,0.364
MagnatesMedia,Lucasfilm,0.4,0.494
